ts;HourUTC | HourUTC | 804694;mFRRDownActBal | mFRRDownActBal | 804724;HourDK | HourDK | 804695;PriceArea | PriceArea | 804696;mFRRUpActSpec | mFRRUpActSpec | 804713;mFRRDownActSpec | mFRRDownActSpec | 804714;ImbalanceMWh | ImbalanceMWh | 804715;ImbalancePriceEUR | ImbalancePriceEUR | 804716;ImbalancePriceDKK | ImbalancePriceDKK | 804717;BalancingPowerPriceUpEUR | BalancingPowerPriceUpEUR | 804718;BalancingPowerPriceUpDKK | BalancingPowerPriceUpDKK | 804719;BalancingPowerPriceDownEUR | BalancingPowerPriceDownEUR | 804720;BalancingPowerPriceDownDKK | BalancingPowerPriceDownDKK | 804721;mFRRUpActBal | mFRRUpActBal | 804722
01/01/2023 00:00;01/01/2023 00:00;0;01/01/2023 01:00;DK2;0;0;-25.1;1.38;10.26;1.38;10.26;1.38;10.26;0
01/01/2023 00:00;01/01/2023 00:00;0;01/01/2023 01:00;DK1;0;0;-10;1.38;10.26;1.38;10.26;1.38;10.26;0
01/01/2023 01:00;01/01/2023 01:00;22.040001;01/01/2023 02:00;DK2;0;0;-87.599998;-6;-44.619999;0.09;0.6693;-6;-44.619999;0
01/01/2023 01:00;01/01/2023 01:00;119.959999;01/01/2023 02:00;DK1;0;0;-358;-6;-44.619999;0.09;0.6693;-6;-44.619999;0
01/01/2023 02:00;01/01/2023 02:00;23;01/01/2023 03:00;DK2;0;0;-119.400002;-6;-44.619999;0.08;0.594933;-6;-44.619999;0
01/01/2023 02:00;01/01/2023 02:00;90.25;01/01/2023 03:00;DK1;0;0;-311;-6;-44.619999;0.08;0.594933;-6;-44.619999;0
01/01/2023 03:00;01/01/2023 03:00;23;01/01/2023 04:00;DK2;0;0;99.199997;-6;-44.619999;0.05;0.371833;-6;-44.619999;0
01/01/2023 03:00;01/01/2023 03:00;105.75;01/01/2023 04:00;DK1;0;0;-258;-6;-44.619999;0.05;0.371833;-6;-44.619999;0
01/01/2023 04:00;01/01/2023 04:00;23;01/01/2023 05:00;DK2;0;0;148.5;-0.4;-3;0.08;0.6;-0.4;-3;0
01/01/2023 04:00;01/01/2023 04:00;84.959999;01/01/2023 05:00;DK1;0;0;-336;-0.4;-3;0;0;-0.4;-3;0
01/01/2023 05:00;01/01/2023 05:00;23;01/01/2023 06:00;DK2;0;0;150.199997;-2.5;-18.59;0.09;0.66924;-2.5;-18.59;0
01/01/2023 05:00;01/01/2023 05:00;95.419998;01/01/2023 06:00;DK1;0;0;-219;-2.5;-18.59;-0.38;-2.82568;-2.5;-18.59;0
01/01/2023 06:00;01/01/2023 06:00;23;01/01/2023 07:00;DK2;0;0;11.5;-5;-37.18;0.53;3.94108;-5;-37.18;0
01/01/2023 06:00;01/01/2023 06:00;75.459999;01/01/2023 07:00;DK1;0;0.17;-208;-5;-37.18;0;0;-5;-37.18;0
01/01/2023 07:00;01/01/2023 07:00;23;01/01/2023 08:00;DK2;0;0;-15.2;-5;-37.18;2.03;15.09508;-5;-37.18;0
01/01/2023 07:00;01/01/2023 07:00;98.330002;01/01/2023 08:00;DK1;0;1.67;-182;-5;-37.18;0;0;-5;-37.18;0
01/01/2023 08:00;01/01/2023 08:00;27.959999;01/01/2023 09:00;DK2;0;0;27.799999;-7;-52.060001;3.1;23.055143;-7;-52.060001;0
01/01/2023 08:00;01/01/2023 08:00;127.669998;01/01/2023 09:00;DK1;0;0;-75;-7;-52.060001;0.04;0.297486;-7;-52.060001;0
01/01/2023 09:00;01/01/2023 09:00;30;01/01/2023 10:00;DK2;0;0;-44.400002;-7;-52.060001;4.43;32.946545;-7;-52.060001;0
01/01/2023 09:00;01/01/2023 09:00;135.539993;01/01/2023 10:00;DK1;0;0;-354;-7;-52.060001;0.8;5.949714;-7;-52.060001;0
01/01/2023 10:00;01/01/2023 10:00;29.459999;01/01/2023 11:00;DK2;0;0;43.400002;-7;-52.060001;6.06;45.069088;-7;-52.060001;0
01/01/2023 10:00;01/01/2023 10:00;142.75;01/01/2023 11:00;DK1;0;0;-364;-7;-52.060001;0.08;0.594971;-7;-52.060001;0
01/01/2023 11:00;01/01/2023 11:00;16.290001;01/01/2023 12:00;DK2;0;0;-22.799999;-5;-37.18;6.06;45.06216;-5;-37.18;0
01/01/2023 11:00;01/01/2023 11:00;94.669998;01/01/2023 12:00;DK1;0;0;-215;-5;-37.18;0.04;0.29744;-5;-37.18;0
01/01/2023 12:00;01/01/2023 12:00;14.46;01/01/2023 13:00;DK2;0;0;-15.3;-5;-37.18;5.68;42.236481;-5;-37.18;0
01/01/2023 12:00;01/01/2023 12:00;57.75;01/01/2023 13:00;DK1;0;0;-213;-5;-37.18;0;0;-5;-37.18;0
01/01/2023 13:00;01/01/2023 13:00;6.71;01/01/2023 14:00;DK2;0;0;-80.900002;0.45;3.32;17.709999;130.660431;0.45;3.32;0
01/01/2023 13:00;01/01/2023 13:00;54.330002;01/01/2023 14:00;DK1;0;0;-215;0.45;3.32;0.85;6.271111;0.45;3.32;0
01/01/2023 14:00;01/01/2023 14:00;0;01/01/2023 15:00;DK2;0;0;4.3;9.51;70.720001;24.110001;179.291199;9.51;70.720001;0
01/01/2023 14:00;01/01/2023 14:00;0;01/01/2023 15:00;DK1;0;0;-227;9.51;70.720001;23.530001;174.978104;9.51;70.720001;0
01/01/2023 15:00;01/01/2023 15:00;0;01/01/2023 16:00;DK2;0;0;73.300003;132.199997;983.109985;132.199997;983.109985;36.540001;271.731018;3.12
01/01/2023 15:00;01/01/2023 15:00;0;01/01/2023 16:00;DK1;0;0;-145;132.199997;983.109985;132.199997;983.109985;36.540001;271.731018;23.92
01/01/2023 16:00;01/01/2023 16:00;0;01/01/2023 17:00;DK2;0;0;-221.300003;150;1115.47998;150;1115.47998;46.029999;342.303619;23.33
01/01/2023 16:00;01/01/2023 16:00;0;01/01/2023 17:00;DK1;0;0;-334;150;1115.47998;150;1115.47998;46.029999;342.303619;313.380005
