ts;Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270;Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286;Weather forecast for wind speed y_direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/y_wind_10m | 128318;Weather forecast for wind speed x_direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/x_wind_10m | 128302;Weather forecast for wind direction at Nordhavn | 9F7J/PJ/84/MET-Norway/forecast/wind_direction | 797979;Weather forecast for wind speed at Nordhavn | 9F7J/PJ/84/MET-Norway/forecast/wind_speed | 797995;Weather forecast for wind speed x_direction at Nordhavn | 9F7J/PJ/84/MET-Norway/forecast/x_wind_10m | 798011;Weather forecast for wind speed y_direction at Nordhavn | 9F7J/PJ/84/MET-Norway/forecast/y_wind_10m | 798027
01/01/2023 00:00;220.82284546;5.25521898;3.97210503;3.44060135;218.38534546;5.36557055;3.33708572;4.20159721
01/01/2023 01:00;219.97979736;6.69815016;5.12652397;4.31068802;205.06573486;5.41494703;2.29994583;4.9019146
01/01/2023 02:00;218.68060303;7.11482954;5.54858589;4.45377731;198.95404053;6.88387251;2.24381638;6.50757027
01/01/2023 03:00;217.75088501;7.25413704;5.73042488;4.44849586;225.28213501;11.94114876;8.49537086;8.39155769
01/01/2023 04:00;221.76715088;7.86101866;5.85726929;5.24316978;227.18902588;13.69695663;10.0605526;9.29476929
01/01/2023 05:00;224.08036804;7.29536533;5.23388863;5.08196068;234.64286804;13.4057169;10.9432888;7.74267769
01/01/2023 06:00;226.12519836;7.59830284;5.26003647;5.48399353;235.55488586;13.41422081;11.07188416;7.57253647
01/01/2023 07:00;226.64944458;7.08170033;4.85508919;5.15525436;232.99319458;12.73013783;10.17478561;7.65001106
01/01/2023 08:00;227.49375916;7.15039253;4.82490349;5.27710724;236.08750916;12.86035347;10.68140411;7.16181755
01/01/2023 09:00;225.61036682;6.75016451;4.71602821;4.82936478;234.22755432;11.79166794;9.57643509;6.88009071
01/01/2023 10:00;234.04182434;7.62233496;4.46839523;6.17476082;235.24494934;12.57985401;10.34468269;7.15882492
01/01/2023 11:00;240.22953796;7.94458008;3.93575668;6.90120697;235.44828796;12.4621582;10.27327728;7.05489731
01/01/2023 12:00;248.07220459;7.28737974;2.71242142;6.76309776;239.06439209;11.88454723;10.20157433;6.09621048
01/01/2023 13:00;249.48085022;7.30176067;2.55038834;6.84159088;240.09803772;12.1577177;10.54666901;6.04843521
01/01/2023 14:00;251.03141785;6.60161161;2.13780212;6.24631691;238.73454285;12.36235332;10.57541847;6.40245056
01/01/2023 15:00;248.85372925;6.36308956;2.28793144;5.93797684;241.77560425;12.15410519;10.71629715;5.73519707
01/01/2023 16:00;248.7766571;5.93786049;2.14230728;5.53790283;240.8860321;11.26989174;9.85333252;5.47043228
01/01/2023 17:00;247.42837524;5.88340664;2.2517004;5.43552399;237.09243774;9.78428555;8.22068024;5.30541134
01/01/2023 18:00;247.6572876;5.67256498;2.14983082;5.24954033;230.6494751;10.33223248;7.9975872;6.54045582
01/01/2023 19:00;246.3057251;5.04755592;2.02282524;4.62495804;230.8604126;9.8683567;7.66109085;6.2191143
01/01/2023 20:00;243.32814026;4.56637001;2.04493713;4.08358383;228.22657776;10.04488564;7.49959946;6.68263245
01/01/2023 21:00;242.89855957;4.27653885;1.94392395;3.80958748;230.25793457;9.33171463;7.18361092;5.95661926
01/01/2023 22:00;239.13394165;4.01654673;2.05636215;3.45059586;231.82925415;8.77338219;6.90469742;5.41378403
01/01/2023 23:00;221.52604675;3.27841926;2.4523201;2.17617035;238.29948425;7.0679698;6.01796722;3.70622635
02/01/2023 00:00;221.19667053;3.22723365;2.42569065;2.12832069;228.66542053;7.76531935;5.83730507;5.12149143
02/01/2023 01:00;213.30570984;2.60298991;2.17380047;1.43172264;219.54008484;6.88228703;4.38777733;5.30221844
02/01/2023 02:00;200.90763855;2.39347696;2.23517418;0.85720444;211.72013855;6.60148478;3.47829819;5.61066246
02/01/2023 03:00;199.19537354;2.51231933;2.37184525;0.82874107;207.70318604;7.63145971;3.55628014;6.75221634
02/01/2023 04:00;174.69546509;1.61293364;1.60605145;-0.14678383;206.55484009;7.37367582;3.30536461;6.59140301
02/01/2023 05:00;158.43092346;1.66576433;1.55034637;-0.6101017;199.56373596;6.81469011;2.28931236;6.41851044
02/01/2023 06:00;155.91723633;2.16585255;1.97801685;-0.88141823;192.77661133;4.83430958;1.07463646;4.71336842
02/01/2023 07:00;157.11886597;3.18350124;2.93487358;-1.23447037;168.41574097;5.24160671;-1.0459938;5.13604546
02/01/2023 08:00;170.7908783;4.27339411;4.21959686;-0.67816925;149.9783783;5.39741755;-2.69477081;4.67662811
02/01/2023 09:00;189.89077759;5.09395695;5.0173502;0.88142967;136.56265259;5.63790226;-3.87150002;4.09840488
02/01/2023 10:00;212.62670898;5.21078777;4.38496304;2.81493568;164.23608398;6.86508465;-1.85693932;6.60957241
02/01/2023 11:00;218.79774475;5.17804098;4.03169823;3.24896812;208.73524475;8.92364693;4.29974937;7.81978416
02/01/2023 12:00;218.51928711;4.98631525;3.89750576;3.11042023;220.23022461;9.0453968;5.85163116;6.89799404
02/01/2023 13:00;220.12846375;5.00699377;3.82470417;3.23187637;223.12846375;8.93179893;6.11468887;6.51073933
02/01/2023 14:00;219.60964966;5.71330452;4.39709377;3.64850426;224.78933716;9.46086311;6.67389488;6.70568752
02/01/2023 15:00;222.89863586;5.85826778;4.28636837;3.99307442;226.78144836;10.45885372;7.63076973;7.15257931
02/01/2023 16:00;237.50007629;7.01702356;3.76271534;5.92263222;228.59382629;11.01604748;8.27126503;7.27589893
02/01/2023 17:00;256.26602173;7.07452345;1.67146873;6.87400055;244.82852173;10.95733643;9.92282867;4.64754295
02/01/2023 18:00;268.17208862;7.44867802;0.22785664;7.44550514;291.10177612;10.89887333;10.16327858;-3.93669415
02/01/2023 19:00;270.23495483;6.61489201;-0.03509045;6.61494637;276.48495483;9.88100529;9.81611824;-1.12786388
02/01/2023 20:00;267.47662354;5.64636421;0.24129677;5.64093971;262.29693604;9.83142281;9.74445534;1.30574989
02/01/2023 21:00;267.75848389;6.71823645;0.25421143;6.71356964;255.79754639;7.63181067;7.40106964;1.86260986
02/01/2023 22:00;258.65652466;6.01006699;1.17509842;5.89447403;248.5783844;8.19610214;7.63373184;2.98369217
02/01/2023 23:00;258.29147339;6.81374073;1.37467957;6.67400932;238.27584839;9.27565479;7.89666557;4.86686707
03/01/2023 00:00;263.37509155;6.61503267;0.7551136;6.57154655;261.28915405;11.53641987;11.40553093;1.73265266
03/01/2023 01:00;263.99404907;6.36563253;0.65813637;6.33147812;260.22842407;12.64688301;12.46624374;2.13079262
03/01/2023 02:00;266.86804199;6.9902463;0.37294006;6.98047638;263.94616699;13.94727802;13.87110138;1.45399475
03/01/2023 03:00;265.93777466;7.11307955;0.49479485;7.09568787;266.47683716;12.78104877;12.75779724;0.76920891
03/01/2023 04:00;269.41427612;7.18666458;0.06476021;7.18648243;277.46896362;12.36000443;12.25337696;-1.62176323
03/01/2023 05:00;265.68765259;7.43163729;0.54865456;7.41109085;279.57827759;10.68798447;10.53609085;-1.79216576
03/01/2023 06:00;267.57873535;6.69051409;0.27503777;6.68482971;281.15686035;10.23201752;10.03639221;-1.99254036
03/01/2023 07:00;269.36740112;6.60845041;0.06480789;6.60773277;283.82052612;9.82085228;9.53351402;-2.35706711
03/01/2023 08:00;269.90631104;6.22593546;0.00224686;6.22591019;289.14068604;9.15904045;8.64876175;-3.01435471
03/01/2023 09:00;270.79696655;6.07918882;-0.09208965;6.07911873;297.21884155;9.80819225;8.71681404;-4.49638653
03/01/2023 10:00;277.51651001;5.77535295;-0.76286221;5.72488594;295.17276001;7.76314592;7.02176094;-3.31071377
