Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2021 00:00;01.01.2021 01:00;9.421,50;7.338,25
01.01.2021 01:00;01.01.2021 02:00;9.097,25;7.339,00
01.01.2021 02:00;01.01.2021 03:00;9.013,75;7.499,50
01.01.2021 03:00;01.01.2021 04:00;9.103,00;7.755,50
01.01.2021 04:00;01.01.2021 05:00;8.994,25;7.768,00
01.01.2021 05:00;01.01.2021 06:00;8.687,00;7.544,00
01.01.2021 06:00;01.01.2021 07:00;8.220,25;7.099,50
01.01.2021 07:00;01.01.2021 08:00;8.422,75;7.328,75
01.01.2021 08:00;01.01.2021 09:00;9.059,25;7.967,75
01.01.2021 09:00;01.01.2021 10:00;9.626,00;8.359,75
01.01.2021 10:00;01.01.2021 11:00;10.050,50;8.596,00
01.01.2021 11:00;01.01.2021 12:00;10.475,25;8.887,25
01.01.2021 12:00;01.01.2021 13:00;9.712,50;8.101,00
01.01.2021 13:00;01.01.2021 14:00;8.893,25;7.438,00
01.01.2021 14:00;01.01.2021 15:00;8.517,50;7.367,00
01.01.2021 15:00;01.01.2021 16:00;8.450,75;7.584,00
01.01.2021 16:00;01.01.2021 17:00;8.562,25;7.723,50
01.01.2021 17:00;01.01.2021 18:00;9.624,00;8.621,00
01.01.2021 18:00;01.01.2021 19:00;10.105,50;8.968,25
01.01.2021 19:00;01.01.2021 20:00;10.027,75;8.811,50
01.01.2021 20:00;01.01.2021 21:00;9.751,25;8.436,25
01.01.2021 21:00;01.01.2021 22:00;9.426,00;7.988,50
01.01.2021 22:00;01.01.2021 23:00;9.429,00;7.932,50
01.01.2021 23:00;02.01.2021 00:00;8.926,75;7.407,00
02.01.2021 00:00;02.01.2021 01:00;9.766,25;8.396,75
02.01.2021 01:00;02.01.2021 02:00;9.430,75;8.044,50
02.01.2021 02:00;02.01.2021 03:00;9.188,50;7.832,25
02.01.2021 03:00;02.01.2021 04:00;9.233,00;7.908,50
02.01.2021 04:00;02.01.2021 05:00;9.193,75;7.896,25
02.01.2021 05:00;02.01.2021 06:00;8.947,75;7.687,25
02.01.2021 06:00;02.01.2021 07:00;9.110,25;7.875,75
02.01.2021 07:00;02.01.2021 08:00;9.679,75;8.526,50
02.01.2021 08:00;02.01.2021 09:00;10.511,50;9.398,25
02.01.2021 09:00;02.01.2021 10:00;11.085,25;9.650,00
02.01.2021 10:00;02.01.2021 11:00;11.430,25;9.631,50
02.01.2021 11:00;02.01.2021 12:00;11.674,00;9.657,25
02.01.2021 12:00;02.01.2021 13:00;11.195,00;9.229,00
02.01.2021 13:00;02.01.2021 14:00;10.686,25;9.089,25
02.01.2021 14:00;02.01.2021 15:00;10.396,25;9.420,25
02.01.2021 15:00;02.01.2021 16:00;10.254,00;9.810,00
02.01.2021 16:00;02.01.2021 17:00;10.297,50;9.941,50
02.01.2021 17:00;02.01.2021 18:00;10.906,50;10.399,25
02.01.2021 18:00;02.01.2021 19:00;11.144,75;10.526,75
02.01.2021 19:00;02.01.2021 20:00;11.013,50;10.338,25
02.01.2021 20:00;02.01.2021 21:00;10.321,25;9.572,75
02.01.2021 21:00;02.01.2021 22:00;9.778,00;8.920,25
02.01.2021 22:00;02.01.2021 23:00;9.663,75;8.658,75
02.01.2021 23:00;03.01.2021 00:00;9.027,50;7.830,00
03.01.2021 00:00;03.01.2021 01:00;8.597,50;6.667,50
03.01.2021 01:00;03.01.2021 02:00;8.295,25;5.998,50
03.01.2021 02:00;03.01.2021 03:00;8.257,00;5.502,50
03.01.2021 03:00;03.01.2021 04:00;8.262,25;4.970,25
03.01.2021 04:00;03.01.2021 05:00;8.214,75;4.294,75
03.01.2021 05:00;03.01.2021 06:00;7.914,25;3.313,50
03.01.2021 06:00;03.01.2021 07:00;7.889,50;2.542,00
03.01.2021 07:00;03.01.2021 08:00;8.215,75;2.326,75
03.01.2021 08:00;03.01.2021 09:00;9.022,00;2.673,75
03.01.2021 09:00;03.01.2021 10:00;9.901,25;3.101,75
03.01.2021 10:00;03.01.2021 11:00;10.446,25;3.322,50
03.01.2021 11:00;03.01.2021 12:00;11.018,00;3.581,75
03.01.2021 12:00;03.01.2021 13:00;10.490,00;2.904,75
03.01.2021 13:00;03.01.2021 14:00;9.900,75;2.273,75
03.01.2021 14:00;03.01.2021 15:00;9.532,00;1.959,00
03.01.2021 15:00;03.01.2021 16:00;9.495,25;2.002,00
03.01.2021 16:00;03.01.2021 17:00;9.740,75;2.241,25
03.01.2021 17:00;03.01.2021 18:00;10.450,75;2.934,50
03.01.2021 18:00;03.01.2021 19:00;11.025,50;3.492,25
03.01.2021 19:00;03.01.2021 20:00;11.002,00;3.480,75
03.01.2021 20:00;03.01.2021 21:00;10.540,00;3.087,75
03.01.2021 21:00;03.01.2021 22:00;9.730,50;2.391,75
03.01.2021 22:00;03.01.2021 23:00;9.737,75;2.669,75
03.01.2021 23:00;04.01.2021 00:00;9.072,75;2.203,50
04.01.2021 00:00;04.01.2021 01:00;8.747,00;2.254,50
04.01.2021 01:00;04.01.2021 02:00;8.381,75;2.044,75
04.01.2021 02:00;04.01.2021 03:00;8.355,00;2.159,25
04.01.2021 03:00;04.01.2021 04:00;8.486,00;2.419,00
04.01.2021 04:00;04.01.2021 05:00;8.745,00;2.812,00
04.01.2021 05:00;04.01.2021 06:00;9.249,00;3.442,25
04.01.2021 06:00;04.01.2021 07:00;10.872,75;5.185,75
04.01.2021 07:00;04.01.2021 08:00;12.271,25;6.856,25
04.01.2021 08:00;04.01.2021 09:00;12.778,75;7.535,75
04.01.2021 09:00;04.01.2021 10:00;13.051,50;7.935,00
04.01.2021 10:00;04.01.2021 11:00;13.335,25;8.327,50
04.01.2021 11:00;04.01.2021 12:00;13.377,00;8.421,25
