Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2021 00:00;01.01.2021 01:00;12.518,50;10.734,50
01.01.2021 01:00;01.01.2021 02:00;12.054,75;10.454,75
01.01.2021 02:00;01.01.2021 03:00;11.677,00;10.269,25
01.01.2021 03:00;01.01.2021 04:00;11.495,25;10.272,25
01.01.2021 04:00;01.01.2021 05:00;11.494,25;10.413,25
01.01.2021 05:00;01.01.2021 06:00;11.509,75;10.536,75
01.01.2021 06:00;01.01.2021 07:00;11.225,50;10.291,75
01.01.2021 07:00;01.01.2021 08:00;11.493,75;10.536,75
01.01.2021 08:00;01.01.2021 09:00;11.884,75;10.750,50
01.01.2021 09:00;01.01.2021 10:00;12.447,75;10.754,50
01.01.2021 10:00;01.01.2021 11:00;13.213,00;10.852,25
01.01.2021 11:00;01.01.2021 12:00;13.847,75;10.909,00
01.01.2021 12:00;01.01.2021 13:00;13.906,75;10.584,25
01.01.2021 13:00;01.01.2021 14:00;13.647,25;10.241,75
01.01.2021 14:00;01.01.2021 15:00;13.405,25;10.268,25
01.01.2021 15:00;01.01.2021 16:00;13.457,75;10.649,50
01.01.2021 16:00;01.01.2021 17:00;14.109,25;11.318,75
01.01.2021 17:00;01.01.2021 18:00;15.110,75;12.089,75
01.01.2021 18:00;01.01.2021 19:00;15.314,25;12.183,00
01.01.2021 19:00;01.01.2021 20:00;14.923,50;11.772,00
01.01.2021 20:00;01.01.2021 21:00;14.329,75;11.148,50
01.01.2021 21:00;01.01.2021 22:00;13.901,25;10.704,00
01.01.2021 22:00;01.01.2021 23:00;13.856,50;10.671,00
01.01.2021 23:00;02.01.2021 00:00;13.107,00;9.964,50
02.01.2021 00:00;02.01.2021 01:00;12.345,75;9.913,75
02.01.2021 01:00;02.01.2021 02:00;11.904,75;9.594,00
02.01.2021 02:00;02.01.2021 03:00;11.653,25;9.533,75
02.01.2021 03:00;02.01.2021 04:00;11.507,50;9.575,25
02.01.2021 04:00;02.01.2021 05:00;11.604,75;9.868,00
02.01.2021 05:00;02.01.2021 06:00;12.170,00;10.623,75
02.01.2021 06:00;02.01.2021 07:00;12.948,75;11.556,25
02.01.2021 07:00;02.01.2021 08:00;13.712,50;12.426,25
02.01.2021 08:00;02.01.2021 09:00;14.466,00;13.138,25
02.01.2021 09:00;02.01.2021 10:00;15.312,50;13.652,25
02.01.2021 10:00;02.01.2021 11:00;15.873,25;13.853,50
02.01.2021 11:00;02.01.2021 12:00;16.263,25;13.983,25
02.01.2021 12:00;02.01.2021 13:00;16.031,50;13.653,00
02.01.2021 13:00;02.01.2021 14:00;15.613,25;13.301,50
02.01.2021 14:00;02.01.2021 15:00;15.282,25;13.359,50
02.01.2021 15:00;02.01.2021 16:00;15.332,25;13.812,50
02.01.2021 16:00;02.01.2021 17:00;16.097,50;14.625,25
02.01.2021 17:00;02.01.2021 18:00;17.010,00;15.219,00
02.01.2021 18:00;02.01.2021 19:00;16.824,75;14.724,00
02.01.2021 19:00;02.01.2021 20:00;16.070,50;13.738,00
02.01.2021 20:00;02.01.2021 21:00;15.125,00;12.574,00
02.01.2021 21:00;02.01.2021 22:00;14.263,75;11.508,75
02.01.2021 22:00;02.01.2021 23:00;13.817,00;10.831,00
02.01.2021 23:00;03.01.2021 00:00;12.903,75;9.659,25
03.01.2021 00:00;03.01.2021 01:00;12.896,75;8.369,50
03.01.2021 01:00;03.01.2021 02:00;12.271,50;7.291,25
03.01.2021 02:00;03.01.2021 03:00;12.011,50;6.579,50
03.01.2021 03:00;03.01.2021 04:00;11.934,50;6.121,00
03.01.2021 04:00;03.01.2021 05:00;11.945,75;5.734,50
03.01.2021 05:00;03.01.2021 06:00;12.231,25;5.435,25
03.01.2021 06:00;03.01.2021 07:00;12.579,00;5.016,25
03.01.2021 07:00;03.01.2021 08:00;13.091,50;4.690,50
03.01.2021 08:00;03.01.2021 09:00;13.835,75;4.622,00
03.01.2021 09:00;03.01.2021 10:00;14.437,75;4.407,50
03.01.2021 10:00;03.01.2021 11:00;15.291,00;4.439,50
03.01.2021 11:00;03.01.2021 12:00;15.835,00;4.162,00
03.01.2021 12:00;03.01.2021 13:00;15.956,50;3.637,50
03.01.2021 13:00;03.01.2021 14:00;15.557,25;2.772,75
03.01.2021 14:00;03.01.2021 15:00;15.186,50;2.133,50
03.01.2021 15:00;03.01.2021 16:00;15.103,00;1.774,00
03.01.2021 16:00;03.01.2021 17:00;15.602,50;1.900,00
03.01.2021 17:00;03.01.2021 18:00;16.684,25;2.624,50
03.01.2021 18:00;03.01.2021 19:00;16.746,75;2.410,50
03.01.2021 19:00;03.01.2021 20:00;16.130,50;1.611,25
03.01.2021 20:00;03.01.2021 21:00;15.226,00;680,75
03.01.2021 21:00;03.01.2021 22:00;14.594,25;92,00
03.01.2021 22:00;03.01.2021 23:00;14.378,25;223,50
03.01.2021 23:00;04.01.2021 00:00;13.626,25;-315,75
04.01.2021 00:00;04.01.2021 01:00;13.356,50;-334,50
04.01.2021 01:00;04.01.2021 02:00;12.689,75;-975,00
04.01.2021 02:00;04.01.2021 03:00;12.338,25;-1.221,00
04.01.2021 03:00;04.01.2021 04:00;12.282,25;-1.158,00
04.01.2021 04:00;04.01.2021 05:00;12.523,75;-746,00
04.01.2021 05:00;04.01.2021 06:00;12.872,50;-234,00
04.01.2021 06:00;04.01.2021 07:00;13.500,25;455,00
04.01.2021 07:00;04.01.2021 08:00;14.213,75;1.393,75
04.01.2021 08:00;04.01.2021 09:00;15.397,75;2.720,75
04.01.2021 09:00;04.01.2021 10:00;16.039,75;3.295,50
04.01.2021 10:00;04.01.2021 11:00;16.397,75;3.530,50
04.01.2021 11:00;04.01.2021 12:00;16.874,50;3.875,50
04.01.2021 12:00;04.01.2021 13:00;17.008,75;4.025,75
04.01.2021 13:00;04.01.2021 14:00;16.463,25;3.768,00
04.01.2021 14:00;04.01.2021 15:00;16.130,00;3.848,75
04.01.2021 15:00;04.01.2021 16:00;16.047,00;4.088,25
04.01.2021 16:00;04.01.2021 17:00;16.471,75;4.640,00
04.01.2021 17:00;04.01.2021 18:00;17.378,00;5.566,50
04.01.2021 18:00;04.01.2021 19:00;17.681,25;5.954,75
04.01.2021 19:00;04.01.2021 20:00;16.807,25;5.322,75
04.01.2021 20:00;04.01.2021 21:00;15.885,25;4.685,00
04.01.2021 21:00;04.01.2021 22:00;15.210,00;4.254,25
04.01.2021 22:00;04.01.2021 23:00;15.346,00;4.598,50
04.01.2021 23:00;05.01.2021 00:00;14.626,25;3.956,75
05.01.2021 00:00;05.01.2021 01:00;11.657,50;281,50
