ts,"Weather forecast for the max air temperature for the coming 6 hours at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_max | 128206","Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270","Weather forecast for the precipitation amount for the coming 1 hour at Bornholm | 9F7P/00/00/MET-Norway/forecast/precipitation_amount_acc | 128238","Weather forecast for the relativehumidity amount  at Bornholm | 9F7P/00/00/MET-Norway/forecast/relative_humidity_2m | 128254","Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286","Weather forecast for wind speed y_direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/y_wind_10m | 128318","Weather forecast for solar shortwave flux at Bornholm | 9F7P/00/00/MET-Norway/forecast/integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time | 128334","Weather forecast for the minimum air temperature for the coming 6 hours at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_min | 128222","Weather forecast for wind speed x_direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/x_wind_10m | 128302","Weather forecast for the air temperature at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_2m | 128190"
"2021-01-01 00:00:00",275.5202,189.13286,0,0.84855705,3.7119732,3.6583672,0.00000000032186206,275.3145,0.593647,275.51404
"2021-01-01 01:00:00",275.5063,191.73468,0.26904297,0.93790424,3.3582191,3.1760092,0.0000000000536271,275.24734,0.7941017,275.36557
"2021-01-01 02:00:00",275.136,184.39082,0.16796875,0.974747,3.255157,3.3152847,0.00000000042918732,275.08612,0.32813644,275.08374
"2021-01-01 03:00:00",274.88626,178.39856,0,0.97397584,3.1097689,3.4618826,0.00000000016087419,274.93533,-0.328434,274.86594
"2021-01-01 04:00:00",274.9367,170.38286,0.6628418,0.9892498,3.090981,3.0481176,844160,274.63232,-0.46931458,274.8024
"2021-01-01 05:00:00",274.85104,160.84389,1.3227539,0.98676246,3.0284963,2.908619,748032,274.65363,-0.81503963,274.62445
"2021-01-01 06:00:00",274.86084,161.75029,0.77124023,0.97637093,3.1693146,3.4707317,0,274.8299,-0.7902012,274.9706
"2021-01-01 07:00:00",274.6282,171.1016,0.2680664,0.9911869,3.5494955,3.1021347,0,274.75116,-0.7523031,274.7614
"2021-01-01 08:00:00",274.49707,178.17192,1.3942871,0.9994874,3.6481454,3.6441383,704,274.49274,-0.041610718,274.46426
"2021-01-01 09:00:00",274.5175,183.39076,0,0.9729371,3.8833945,4.4356604,12384,274.40753,0.26256084,274.48663
"2021-01-01 10:00:00",274.52533,177.06264,3.5517578,0.98987424,3.7881956,3.987197,39840,274.18094,-0.25028992,274.24554
"2021-01-01 11:00:00",273.9854,184.08595,4.8007812,0.9935363,3.8964877,3.5496492,204192,274.52435,1.1706696,274.37735
