hour,generation 1,generation 2,generation 3,wind generation 1,wind generation 2,load 1,load 2,load 3,epsilon 1,delta 1,epsilon 2,delta 2,epsilon 3,delta 3,epsilon 4,delta 4,epsilon 5,delta 5,epsilon 6,delta 6,transmission_up_binding_L1,transmission_down_binding_L1,transmission_up_binding_L2,transmission_down_binding_L2,transmission_up_binding_L3,transmission_down_binding_L3,transmission_up_binding_L4,transmission_down_binding_L4,transmission_up_binding_L5,transmission_down_binding_L5,transmission_up_binding_L6,transmission_down_binding_L6,transmission_up_binding_L7,transmission_down_binding_L7
0,100.0,0.0,17.444090760069916,0.0,26.718066177741548,9.010134808613218,72.08107846890574,63.070943660292514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,100.0,0.0,13.962863960548571,0.0,22.24220314978565,8.512816694395882,68.10253355516706,59.58971686077116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,100.0,0.0,14.725975369027827,0.0,23.223346389259035,8.62183260989292,68.97466087914336,60.35282826925042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3,100.0,0.0,10.192372333117115,0.0,17.394428200230905,7.974175033334243,63.79340026667394,55.819225233339694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,100.0,0.0,0.0,0.0,8.84642960803662,6.851522827411884,54.81218261929507,47.96065979188318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7779356305535312,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,100.0,0.0,16.180854284719953,0.0,25.093904995148872,8.829672454991794,70.63737963993435,61.807707184942544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6,100.0,0.0,22.482710733417658,6.660098234263816,26.536193623496192,9.729937661948604,77.83950129558883,68.10956363364024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7,109.3669773646701,0.0,33.11094790880074,9.373547715359924,28.120643146079775,11.248257258431911,89.98605806745529,78.73780080902335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,145.4400351834765,0.0,61.659604867720276,0.0,30.653273647983674,15.326636823991837,122.6130945919347,107.28645776794285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.473275484688929,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9,100.59585778401788,0.0,15.128363023972204,5.786211040399504,17.358633121198512,8.679316560599256,69.43453248479405,60.75521592419478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10,100.0,0.0,10.0,0.0,6.466780288015684,7.27917376800098,58.23339014400784,50.954216376006855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,100.0,0.0,15.358893021611339,3.127699055094581,20.90939860177164,8.712249417404848,69.69799533923879,60.98574592183393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12,100.0,0.0,17.537303251450137,5.181628700371318,21.656282109144936,9.02345087881039,72.18760703048312,63.16415615167272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,100.0,0.0,12.50953984665021,3.763245647095383,16.610397927677948,8.305198963838974,66.44159171071179,58.1363927468728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14,141.40593602860716,0.0,56.47093827976869,0.0,29.17079747999751,14.585398739998755,116.68318991999004,102.09779117999126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.318708051606731,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15,123.44417885287885,0.0,33.36848944528569,0.0,22.570097813002373,11.285048906501187,90.2803912520095,78.99534234550829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1780163928520306,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
16,119.03266763473975,0.0,38.245868111676785,4.475997633675147,29.954543218535495,11.9818172874142,95.8545382993136,83.87272101189939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
17,102.11780166886037,0.0,28.098622611389427,9.57473707943013,28.72421123829039,10.532210787373145,84.25768629898516,73.72547551161202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,100.0,0.0,30.333856148238556,10.736032084617847,32.55458959219764,10.85152986406588,86.81223891252704,75.96070904846115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
