Sample_Nr,Hour,L1,L2,L3,W1,W2
1,0,51.7,118.41,112.32,2.36,25.31
1,1,55.61,115.53,126.8,6.45,3.06
1,2,60.22,100.33,115.06,6.26,5.8
1,3,50.17,115.35,120.21,8.96,26.89
1,4,64.16,100.14,130.43,6.07,2.82
1,5,54.04,125.69,121.46,6.14,22.62
1,6,50.49,110.12,124.96,4.01,12.35
1,7,54.58,98.92,86.26,5.46,6.8
1,8,53.83,102.27,101.16,8.18,13.94
1,9,49.81,94.37,126.37,3.09,21.04
1,10,53.01,123.15,115.84,7.15,1.13
1,11,48.22,96.44,100.12,1.98,5.37
1,12,58.65,112.45,135.24,0.89,14.63
1,13,43.63,116.51,115.73,0.4,1.19
1,14,53.7,77.71,108.41,3.19,25.2
1,15,49.99,97.92,103.99,8.96,0.85
1,16,60.69,121.02,97.9,0.16,6.26
1,17,63.93,119.78,123.29,1.41,10.8
1,18,49.95,118.73,111.02,3.81,18.19
1,19,58.69,103.11,121.77,8.73,20.19
1,20,53.69,124.18,108.09,3.04,9.58
1,21,59.53,106.67,129.2,8.03,3.44
1,22,47.85,108.31,116.53,7.45,16.01
1,23,56.26,117.89,101.05,0.71,13.62
2,0,62.58,116.75,127.65,3.62,9.34
2,1,61.12,121.4,124.85,7.5,13.48
2,2,52.02,104.29,124.73,2.13,11.54
2,3,62.85,103.12,102.22,0.2,28.51
2,4,56.06,101.85,97.39,0.15,5.43
2,5,50.1,107.97,134.24,4.54,5.93
2,6,56.4,101.08,119.84,9.5,5.19
2,7,54.78,100.53,104.95,9.5,28.51
2,8,46.1,114.86,115.78,2.25,22.42
2,9,55.35,112.59,137.2,9.5,4.08
2,10,64.1,117.38,103.84,3.31,14.26
2,11,52.66,115.68,108.42,3.41,23.44
2,12,61.69,108.86,120.86,9.5,8.54
2,13,52.16,126.68,134.46,1.82,28.51
2,14,54.25,94.99,129.33,3.32,16.89
2,15,51.33,98.84,109.09,7.05,4.95
2,16,55.42,109.45,107.84,6.08,18.5
2,17,66.0,128.3,140.31,2.5,7.72
2,18,58.38,117.96,125.2,5.03,0.85
2,19,54.07,123.69,137.61,2.0,20.58
2,20,60.29,102.57,124.3,4.23,3.17
2,21,49.02,120.76,111.8,3.57,9.13
2,22,45.69,107.6,132.02,1.91,23.06
2,23,61.21,112.16,116.75,9.5,5.55
3,0,55.45,123.48,110.43,8.88,15.04
3,1,48.9,126.53,135.86,0.12,7.23
3,2,56.86,92.54,107.79,0.2,6.84
3,3,56.78,125.85,127.05,8.88,26.63
3,4,51.53,101.05,124.22,4.08,11.79
3,5,62.04,117.31,128.96,3.78,13.36
3,6,57.09,93.39,121.71,5.65,11.99
3,7,38.62,103.56,95.84,3.4,10.97
3,8,60.72,119.05,132.32,0.66,26.63
3,9,49.24,103.95,108.1,0.35,13.67
3,10,58.81,120.05,100.08,8.88,1.33
3,11,61.75,106.18,124.25,1.27,17.27
3,12,56.49,101.56,112.81,3.83,26.63
3,13,53.9,115.79,112.27,0.79,11.11
