Sample_Number,Hour,Load_L1,Load_L2,Load_L3,Wind_W1,Wind_W2
1,0,70,150,20,10,10
1,1,70,150,20,10,10
1,2,70,20,70,10,10
1,3,70,150,150,10,10
1,4,70,150,70,10,10
1,5,70,20,20,10,10
1,6,20,20,70,10,10
1,7,70,20,70,10,10
1,8,20,20,70,10,10
1,9,70,20,70,10,10
1,10,70,70,150,10,10
1,11,150,150,150,10,10
1,12,20,20,150,10,10
1,13,20,150,20,10,10
1,14,150,150,70,10,10
1,15,20,20,20,10,10
1,16,20,150,150,10,10
1,17,70,20,70,10,10
1,18,20,20,150,10,10
1,19,70,150,70,10,10
1,20,70,70,70,10,10
1,21,70,20,150,10,10
1,22,70,20,20,10,10
1,23,150,150,70,10,10
2,0,20,150,150,10,10
2,1,20,150,20,10,10
2,2,150,70,70,10,10
2,3,70,20,70,10,10
2,4,20,20,150,10,10
2,5,150,20,70,10,10
2,6,150,150,150,10,10
2,7,70,70,150,10,10
2,8,70,70,150,10,10
2,9,20,70,150,10,10
2,10,70,150,20,10,10
2,11,150,70,20,10,10
2,12,20,70,20,10,10
2,13,150,150,150,10,10
2,14,150,150,70,10,10
2,15,70,20,70,10,10
2,16,70,150,20,10,10
2,17,70,20,150,10,10
2,18,150,70,70,10,10
2,19,150,150,70,10,10
2,20,20,150,70,10,10
2,21,150,20,70,10,10
2,22,70,150,20,10,10
2,23,70,20,150,10,10
3,0,20,70,70,10,10
3,1,150,20,70,10,10
3,2,70,20,70,10,10
3,3,150,20,20,10,10
3,4,150,20,20,10,10
3,5,20,150,70,10,10
3,6,150,20,20,10,10
3,7,150,20,70,10,10
3,8,20,70,70,10,10
3,9,150,70,150,10,10
3,10,70,150,150,10,10
3,11,70,20,150,10,10
3,12,20,150,150,10,10
3,13,20,70,70,10,10
3,14,150,150,150,10,10
3,15,70,20,150,10,10
3,16,150,20,150,10,10
3,17,150,70,20,10,10
3,18,150,20,150,10,10
3,19,70,150,70,10,10
3,20,150,70,150,10,10
3,21,70,150,70,10,10
3,22,20,70,20,10,10
3,23,150,20,20,10,10
4,0,150,150,70,10,10
4,1,150,70,70,10,10
4,2,70,20,70,10,10
4,3,20,70,150,10,10
4,4,150,20,20,10,10
4,5,150,70,20,10,10
4,6,150,20,150,10,10
4,7,70,20,150,10,10
4,8,20,150,150,10,10
4,9,20,150,150,10,10
4,10,20,70,150,10,10
4,11,70,20,70,10,10
4,12,20,150,20,10,10
4,13,20,20,20,10,10
4,14,20,150,70,10,10
4,15,20,70,150,10,10
4,16,70,70,20,10,10
4,17,20,70,150,10,10
4,18,70,20,150,10,10
4,19,70,150,20,10,10
4,20,20,20,20,10,10
4,21,20,70,150,10,10
4,22,20,20,70,10,10
4,23,20,20,20,10,10
5,0,20,70,70,10,10
5,1,70,150,20,10,10
5,2,150,20,20,10,10
5,3,20,150,20,10,10
5,4,70,150,150,10,10
5,5,20,150,70,10,10
5,6,150,20,70,10,10
5,7,150,20,20,10,10
5,8,150,70,70,10,10
5,9,150,20,20,10,10
5,10,70,70,20,10,10
5,11,150,20,70,10,10
5,12,20,150,70,10,10
5,13,150,150,70,10,10
5,14,70,20,150,10,10
5,15,150,20,150,10,10
5,16,70,20,20,10,10
5,17,20,20,150,10,10
5,18,20,20,70,10,10
5,19,70,70,150,10,10
