Sample_Nr,Hour,L1,L2,L3,W1,W2
1,0,44.84,107.91,124.86,2.77,4.27
1,1,58.38,132.92,97.42,1.16,0.87
1,2,55.48,108.31,119.31,6.19,4.75
1,3,58.89,119.25,116.65,1.87,0.83
1,4,65.99,105.58,125.53,4.71,5.54
1,5,59.38,116.09,120.74,0.13,1.88
1,6,57.15,128.4,126.0,1.38,10.18
1,7,47.29,111.7,112.72,6.59,20.59
1,8,54.86,101.47,123.38,3.48,3.61
1,9,64.78,107.37,116.19,1.98,7.69
1,10,53.76,114.73,110.06,9.2,3.93
1,11,52.95,124.58,118.05,1.63,7.4
1,12,62.46,102.74,116.89,5.6,16.01
1,13,53.39,89.86,119.32,3.04,3.48
1,14,45.91,113.72,133.69,0.9,6.32
1,15,55.69,104.56,109.53,0.07,4.06
1,16,54.76,122.71,128.25,3.93,6.91
1,17,53.37,121.66,117.08,6.07,8.28
1,18,51.76,96.42,128.72,0.77,21.62
1,19,64.25,109.57,101.6,3.23,0.64
1,20,59.1,109.3,120.87,3.66,14.25
1,21,55.65,124.52,127.05,3.73,15.17
1,22,52.15,120.0,92.78,0.78,5.34
1,23,60.07,111.89,120.52,9.2,14.4
2,0,58.57,105.1,115.57,8.92,26.77
2,1,42.42,135.15,119.59,0.46,16.99
2,2,47.26,119.85,140.32,2.06,1.93
2,3,58.28,98.99,124.28,3.04,2.49
2,4,60.49,105.94,111.84,2.19,6.56
2,5,56.7,131.24,120.06,1.56,16.07
2,6,58.56,92.96,104.5,3.88,1.57
2,7,47.87,104.63,127.93,2.32,6.88
2,8,56.8,100.7,132.66,8.92,4.89
2,9,58.58,100.11,110.63,5.22,9.91
2,10,54.7,126.88,104.35,5.39,23.37
2,11,48.83,112.02,136.68,4.88,6.28
2,12,60.5,130.41,119.4,5.44,26.77
2,13,56.18,134.18,125.15,3.17,7.26
2,14,54.65,108.55,115.3,2.21,26.77
2,15,55.38,121.99,123.01,8.92,4.74
2,16,55.22,133.5,149.53,8.92,4.64
2,17,55.87,124.61,101.71,2.13,14.31
2,18,50.98,116.37,114.19,4.5,7.14
2,19,55.01,113.05,98.76,2.37,19.68
2,20,51.99,103.79,139.41,8.92,10.65
2,21,55.41,124.96,148.26,0.41,0.14
2,22,65.86,104.61,119.09,8.92,10.96
2,23,52.85,107.4,112.55,8.76,7.58
3,0,50.33,123.93,124.92,1.96,7.73
3,1,60.11,107.67,139.11,8.13,0.86
3,2,61.43,105.88,136.44,3.49,4.16
3,3,46.44,101.28,115.57,1.32,1.94
3,4,47.8,110.08,115.98,8.13,2.66
3,5,66.19,111.23,114.6,3.85,14.52
3,6,60.49,114.24,133.31,8.13,5.4
3,7,62.96,123.91,106.71,1.65,4.83
3,8,54.88,112.45,113.72,8.13,3.78
3,9,49.24,132.65,134.97,4.61,4.78
3,10,52.77,104.09,112.61,8.13,15.34
3,11,49.44,113.89,124.37,3.02,23.46
3,12,43.65,112.15,130.03,1.31,17.38
3,13,54.63,104.65,153.52,2.79,14.83
3,14,55.52,127.62,116.56,2.86,4.37
3,15,48.77,105.03,145.1,8.13,6.9
3,16,47.83,102.59,110.42,1.6,14.5
3,17,61.72,95.86,108.55,8.13,6.55
3,18,52.66,102.94,116.34,0.09,12.78
3,19,50.18,106.37,124.77,8.13,24.38
3,20,50.54,95.39,127.39,8.13,12.47
3,21,66.67,114.57,124.67,8.13,4.13
3,22,68.21,84.55,130.75,8.13,24.38
3,23,57.02,110.16,118.7,8.13,14.23
4,0,60.58,113.56,131.46,9.39,12.86
4,1,51.79,110.78,117.49,5.31,7.44
4,2,56.33,121.67,131.67,0.7,22.69
4,3,57.56,122.39,102.74,2.1,14.55
4,4,55.38,101.23,96.35,2.49,11.0
4,5,66.61,113.11,132.71,7.16,5.63
4,6,50.23,107.53,125.25,9.39,6.89
4,7,53.03,100.57,144.48,8.51,9.43
4,8,60.04,114.78,137.47,4.93,3.55
4,9,56.93,116.92,132.84,4.64,28.17
4,10,54.47,131.11,133.51,4.39,25.91
4,11,55.24,101.6,122.83,2.46,5.99
4,12,47.32,116.43,122.57,2.87,18.02
4,13,57.5,103.66,117.78,3.74,2.43
4,14,60.98,103.52,111.71,6.48,23.7
4,15,58.81,112.46,97.17,1.87,0.49
4,16,49.2,116.64,114.46,1.67,5.25
4,17,59.85,123.09,104.85,5.37,12.72
4,18,58.68,115.66,127.98,0.95,1.86
4,19,61.16,109.75,107.93,9.32,12.09
4,20,53.76,105.45,123.33,2.58,22.58
4,21,48.16,109.4,107.75,0.47,16.68
4,22,47.79,102.97,114.36,0.96,0.49
4,23,52.59,95.8,113.27,8.75,14.08
5,0,59.94,109.59,104.17,4.66,8.28
5,1,60.34,123.53,109.93,8.6,11.57
5,2,47.76,112.88,122.36,0.14,0.98
5,3,51.32,118.92,138.39,1.15,15.11
5,4,53.73,110.61,122.47,8.6,7.22
5,5,55.24,127.86,102.5,1.33,17.36
5,6,57.53,120.79,120.44,2.79,11.1
5,7,47.04,112.49,120.71,8.6,2.82
5,8,57.82,116.88,132.74,1.3,11.38
5,9,56.35,109.48,126.86,0.14,0.71
5,10,54.85,111.15,131.33,0.27,4.69
5,11,53.8,109.89,140.86,1.67,11.09
5,12,51.86,123.31,120.97,5.87,4.16
5,13,56.43,88.56,95.51,1.1,8.23
5,14,53.51,97.75,104.51,2.61,21.93
5,15,49.75,110.54,113.05,4.04,19.24
5,16,51.79,121.76,103.4,3.03,8.81
5,17,58.61,107.88,114.64,1.53,25.79
5,18,53.3,110.09,110.73,4.97,21.57
5,19,54.36,108.2,117.17,3.97,5.29
5,20,61.61,115.47,115.06,5.45,25.79
5,21,62.56,98.03,138.22,7.45,9.35
5,22,45.01,106.26,136.58,5.92,7.65
5,23,66.15,111.4,119.87,3.03,12.46
6,0,52.63,124.06,117.16,2.27,3.24
6,1,57.56,128.7,123.52,4.19,9.98
6,2,60.93,135.38,106.53,6.61,5.52
6,3,54.8,112.88,109.33,7.37,2.97
6,4,48.12,113.93,122.1,9.05,4.03
6,5,55.3,106.03,133.47,9.05,13.39
6,6,51.68,117.68,105.89,3.62,11.88
6,7,52.56,108.28,120.48,0.61,9.04
6,8,68.69,114.17,107.02,0.66,22.6
6,9,58.78,117.19,103.76,9.05,11.21
6,10,64.29,108.73,126.94,3.75,2.2
6,11,52.08,122.51,114.66,9.05,2.49
6,12,57.86,136.6,125.0,8.58,27.15
6,13,60.43,123.96,124.01,3.95,8.51
6,14,57.63,112.77,118.62,5.05,3.21
6,15,52.75,129.06,106.65,2.63,12.54
6,16,51.64,106.34,110.83,0.09,9.12
6,17,66.15,109.11,101.69,9.05,2.68
6,18,50.57,125.06,107.62,3.83,0.55
6,19,61.4,123.59,133.59,9.05,5.08
6,20,54.76,108.15,107.92,1.73,5.56
6,21,65.13,108.14,121.38,7.93,13.87
6,22,45.24,92.33,136.77,9.05,8.71
6,23,52.06,105.09,115.38,9.05,3.92
7,0,53.52,96.21,129.67,0.18,21.81
7,1,52.29,103.71,119.37,7.68,4.03
7,2,57.48,94.18,128.27,1.8,20.95
7,3,47.84,117.26,120.09,8.99,8.37
7,4,54.72,114.02,103.34,8.99,14.79
7,5,55.34,84.25,125.25,6.71,14.31
7,6,54.71,110.65,117.24,8.99,1.92
7,7,51.41,118.64,108.19,4.68,7.19
7,8,52.31,78.79,134.25,3.22,6.67
7,9,50.03,118.94,104.92,7.77,26.97
7,10,55.25,115.9,126.39,0.37,26.97
7,11,64.82,124.14,105.2,6.95,26.97
7,12,53.57,119.94,136.41,3.38,11.37
7,13,57.15,111.57,107.55,0.83,0.07
7,14,54.65,123.64,120.61,0.2,9.84
7,15,54.66,112.86,122.6,8.99,1.22
7,16,55.15,104.82,118.69,2.18,26.97
7,17,49.89,122.32,102.87,6.5,12.26
7,18,70.87,113.94,121.1,2.66,17.8
7,19,66.37,123.0,125.82,1.67,10.94
7,20,71.36,104.6,109.04,4.8,0.59
7,21,46.43,110.52,116.29,3.46,4.88
7,22,53.5,117.86,113.6,1.63,18.34
7,23,61.74,102.3,118.37,2.42,26.97
8,0,54.79,118.13,109.91,2.22,26.56
8,1,39.11,115.13,130.68,0.35,3.93
8,2,56.59,105.33,123.24,5.13,7.45
8,3,48.93,97.09,90.87,1.03,1.65
8,4,55.82,126.94,108.58,8.85,26.56
8,5,56.06,101.72,130.79,8.85,2.89
