Sample_Number,Load_L1_T1,Load_L2_T1,Load_L3_T1,Wind_W1_T1,Wind_W2_T1,Load_L1_T2,Load_L2_T2,Load_L3_T2,Wind_W1_T2,Wind_W2_T2,Load_L1_T3,Load_L2_T3,Load_L3_T3,Wind_W1_T3,Wind_W2_T3,Load_L1_T4,Load_L2_T4,Load_L3_T4,Wind_W1_T4,Wind_W2_T4,Load_L1_T5,Load_L2_T5,Load_L3_T5,Wind_W1_T5,Wind_W2_T5,Load_L1_T6,Load_L2_T6,Load_L3_T6,Wind_W1_T6,Wind_W2_T6,Load_L1_T7,Load_L2_T7,Load_L3_T7,Wind_W1_T7,Wind_W2_T7,Load_L1_T8,Load_L2_T8,Load_L3_T8,Wind_W1_T8,Wind_W2_T8,Load_L1_T9,Load_L2_T9,Load_L3_T9,Wind_W1_T9,Wind_W2_T9,Load_L1_T10,Load_L2_T10,Load_L3_T10,Wind_W1_T10,Wind_W2_T10,Load_L1_T11,Load_L2_T11,Load_L3_T11,Wind_W1_T11,Wind_W2_T11,Load_L1_T12,Load_L2_T12,Load_L3_T12,Wind_W1_T12,Wind_W2_T12,Load_L1_T13,Load_L2_T13,Load_L3_T13,Wind_W1_T13,Wind_W2_T13,Load_L1_T14,Load_L2_T14,Load_L3_T14,Wind_W1_T14,Wind_W2_T14,Load_L1_T15,Load_L2_T15,Load_L3_T15,Wind_W1_T15,Wind_W2_T15,Load_L1_T16,Load_L2_T16,Load_L3_T16,Wind_W1_T16,Wind_W2_T16,Load_L1_T17,Load_L2_T17,Load_L3_T17,Wind_W1_T17,Wind_W2_T17,Load_L1_T18,Load_L2_T18,Load_L3_T18,Wind_W1_T18,Wind_W2_T18,Load_L1_T19,Load_L2_T19,Load_L3_T19,Wind_W1_T19,Wind_W2_T19,Load_L1_T20,Load_L2_T20,Load_L3_T20,Wind_W1_T20,Wind_W2_T20,Load_L1_T21,Load_L2_T21,Load_L3_T21,Wind_W1_T21,Wind_W2_T21,Load_L1_T22,Load_L2_T22,Load_L3_T22,Wind_W1_T22,Wind_W2_T22,Load_L1_T23,Load_L2_T23,Load_L3_T23,Wind_W1_T23,Wind_W2_T23,Load_L1_T24,Load_L2_T24,Load_L3_T24,Wind_W1_T24,Wind_W2_T24
Sample_Number,Hour_1,Hour_1,Hour_1,Hour_1,Hour_1,Hour_2,Hour_2,Hour_2,Hour_2,Hour_2,Hour_3,Hour_3,Hour_3,Hour_3,Hour_3,Hour_4,Hour_4,Hour_4,Hour_4,Hour_4,Hour_5,Hour_5,Hour_5,Hour_5,Hour_5,Hour_6,Hour_6,Hour_6,Hour_6,Hour_6,Hour_7,Hour_7,Hour_7,Hour_7,Hour_7,Hour_8,Hour_8,Hour_8,Hour_8,Hour_8,Hour_9,Hour_9,Hour_9,Hour_9,Hour_9,Hour_10,Hour_10,Hour_10,Hour_10,Hour_10,Hour_11,Hour_11,Hour_11,Hour_11,Hour_11,Hour_12,Hour_12,Hour_12,Hour_12,Hour_12,Hour_13,Hour_13,Hour_13,Hour_13,Hour_13,Hour_14,Hour_14,Hour_14,Hour_14,Hour_14,Hour_15,Hour_15,Hour_15,Hour_15,Hour_15,Hour_16,Hour_16,Hour_16,Hour_16,Hour_16,Hour_17,Hour_17,Hour_17,Hour_17,Hour_17,Hour_18,Hour_18,Hour_18,Hour_18,Hour_18,Hour_19,Hour_19,Hour_19,Hour_19,Hour_19,Hour_20,Hour_20,Hour_20,Hour_20,Hour_20,Hour_21,Hour_21,Hour_21,Hour_21,Hour_21,Hour_22,Hour_22,Hour_22,Hour_22,Hour_22,Hour_23,Hour_23,Hour_23,Hour_23,Hour_23,Hour_24,Hour_24,Hour_24,Hour_24,Hour_24
1,56,56,120,30,30,112,56,112,10,10,112,120,112,10,30,120,112,120,30,10,112,120,112,10,10,120,120,120,10,10,112,120,56,30,30,56,120,120,10,10,120,120,112,10,30,120,56,120,30,30,120,112,56,10,10,120,112,120,30,30,120,120,120,10,30,112,56,112,30,30,112,112,56,10,10,112,56,120,30,30,120,56,56,10,30,120,56,56,30,10,56,112,56,30,10,120,56,112,30,10,56,56,120,10,10,112,112,56,30,30,120,112,112,30,10,56,56,112,30,10
2,120,112,56,10,10,56,56,112,30,30,112,112,56,30,30,56,56,120,30,30,120,112,112,10,30,56,112,112,30,30,120,120,112,10,10,56,56,112,10,10,56,112,56,30,30,56,112,56,30,30,112,120,56,30,10,112,112,56,10,30,112,120,56,30,30,56,56,56,10,30,112,112,112,10,10,56,56,56,30,10,120,120,56,30,30,56,56,120,30,10,56,120,56,30,30,120,112,120,30,10,120,112,56,30,10,56,120,56,10,10,56,56,120,30,30,56,112,120,30,30
3,120,120,120,10,30,112,120,112,30,30,56,112,56,10,30,120,120,56,10,10,120,112,112,10,30,112,112,112,30,30,56,112,112,30,10,120,56,56,10,30,120,120,56,10,30,112,56,56,30,30,56,56,56,10,30,120,112,120,30,30,112,120,112,30,10,112,112,112,10,30,112,56,56,10,10,56,120,56,10,30,112,120,120,30,30,112,112,56,30,10,120,112,120,30,30,56,56,120,10,10,120,112,112,30,10,112,120,112,30,10,112,56,120,30,10,120,112,56,10,10
4,120,120,120,30,10,112,56,56,10,10,56,56,56,30,10,120,56,56,30,30,120,56,56,10,30,112,120,120,10,30,56,120,56,10,30,112,56,56,30,10,120,112,112,30,30,120,56,120,30,30,112,112,120,10,30,56,120,56,30,10,120,120,112,10,30,112,56,120,30,10,120,56,120,30,10,56,56,120,30,30,120,112,112,30,10,56,112,56,10,10,112,112,112,10,10,56,120,120,30,10,112,112,112,30,30,56,112,56,30,30,120,112,120,30,10,112,56,56,30,10
5,112,56,112,10,10,112,56,120,10,30,120,56,120,10,30,112,120,112,30,30,56,112,56,10,10,112,56,120,10,30,56,112,112,30,10,120,56,120,30,10,112,56,120,10,10,120,120,56,30,30,112,120,112,30,10,112,56,56,10,30,120,56,56,30,30,120,56,56,30,30,56,56,120,10,10,112,56,120,10,30,112,120,120,10,10,112,120,112,10,30,56,56,120,30,10,120,56,112,30,30,120,120,56,30,30,120,112,112,10,30,112,120,120,10,10,56,56,56,10,30
6,112,56,120,30,30,120,112,56,30,10,120,120,112,10,10,120,120,112,30,30,112,120,112,10,30,56,56,120,30,30,112,56,112,30,10,56,120,56,30,30,112,112,56,10,10,112,120,120,10,10,120,56,120,10,10,112,56,56,10,30,56,120,120,10,10,56,120,120,10,30,56,112,120,10,10,56,112,56,10,30,120,112,56,30,30,56,120,120,10,30,112,120,56,30,10,120,112,112,10,30,56,56,112,10,30,56,56,56,30,10,56,120,120,10,10,112,112,120,30,30
7,120,56,120,30,10,56,120,56,30,10,112,56,120,30,10,56,112,112,10,10,120,120,120,30,10,112,112,112,10,10,56,56,112,10,10,112,112,56,30,10,120,56,120,10,30,112,112,112,10,30,120,120,120,10,10,112,56,120,10,10,56,120,112,30,30,112,56,112,30,10,56,120,120,10,10,120,112,56,30,30,56,56,120,10,30,112,56,56,30,30,120,120,112,10,30,56,120,120,30,10,112,120,112,30,30,120,112,112,30,10,120,120,112,30,10,56,120,120,10,30
8,120,112,112,30,10,120,112,112,10,10,56,112,56,30,10,112,56,112,30,10,112,56,56,30,10,120,112,112,30,30,120,112,120,30,30,56,112,120,10,30,112,56,112,10,10,56,120,120,10,30,56,120,112,30,10,56,120,112,10,10,112,120,112,10,10,56,112,56,10,30,56,120,56,30,10,56,120,112,30,30,56,120,120,30,30,120,112,56,10,30,120,112,112,10,30,56,56,112,30,30,112,56,120,10,10,120,56,112,10,30,120,112,112,30,30,112,112,56,10,30
9,56,56,56,30,10,56,120,112,10,10,56,56,120,10,30,112,112,120,30,30,120,56,112,10,30,112,112,120,30,10,112,120,112,10,30,112,56,120,10,10,112,112,120,10,10,112,112,112,10,30,120,120,56,10,30,56,56,112,10,10,112,120,112,10,10,56,120,56,10,10,56,120,56,30,10,56,112,112,30,10,120,56,112,30,30,120,120,112,10,30,56,112,120,30,30,120,112,56,30,10,112,56,56,30,30,56,112,120,10,30,120,56,112,10,10,120,112,120,10,30
10,120,112,56,10,10,120,120,112,30,10,120,56,120,30,30,112,56,112,10,30,112,112,120,10,30,120,56,112,30,10,120,120,112,30,10,56,112,56,10,30,120,112,112,10,10,56,112,112,10,30,120,112,56,10,30,56,112,120,10,10,56,120,56,10,10,112,112,120,30,30,120,112,56,10,10,112,112,112,30,10,56,120,120,10,30,112,56,56,10,30,120,112,120,10,10,56,56,112,30,10,112,120,120,10,10,112,56,56,10,30,56,56,112,30,30,120,120,112,10,30
