Sample_Nr,Hour,L1,L2,L3,W1,W2
1,0,51.73,111.69,115.27,7.26,7.1
1,1,55.17,137.48,125.95,5.81,1.18
1,2,52.96,126.61,99.33,10.0,30.0
1,3,50.86,113.58,139.01,10.0,20.48
1,4,54.77,129.31,126.1,2.77,12.98
1,5,56.46,97.97,114.43,9.53,15.96
1,6,45.97,116.96,123.52,10.0,30.0
1,7,61.2,120.19,106.77,5.7,10.42
1,8,52.15,99.81,107.44,4.4,22.4
1,9,49.5,114.15,136.42,5.09,27.49
1,10,55.54,108.13,113.47,10.0,13.65
1,11,62.45,113.44,130.69,5.14,30.0
1,12,52.75,119.12,142.77,3.65,17.33
1,13,56.25,124.32,125.96,10.0,30.0
1,14,51.71,116.08,114.38,4.47,30.0
1,15,54.67,125.25,116.15,4.08,30.0
1,16,52.16,96.27,115.58,8.58,30.0
1,17,55.68,132.33,103.43,5.83,30.0
1,18,56.23,93.88,104.1,10.0,12.95
1,19,52.91,123.97,119.45,7.16,30.0
1,20,57.99,132.32,120.82,10.0,30.0
1,21,58.76,106.88,107.86,10.0,30.0
1,22,65.88,112.95,118.19,10.0,24.15
1,23,48.88,104.68,116.35,6.93,30.0
2,0,68.04,118.33,142.25,10.0,30.0
2,1,51.83,93.74,121.69,6.04,23.49
2,2,53.08,100.95,109.91,10.0,30.0
2,3,40.68,107.69,96.42,10.0,20.37
2,4,67.23,103.86,113.14,3.83,30.0
2,5,61.59,104.84,137.06,4.47,30.0
2,6,55.67,125.68,123.91,10.0,17.93
2,7,63.97,123.32,124.68,3.74,2.28
2,8,59.18,125.85,117.93,10.0,27.73
2,9,52.9,107.02,132.59,4.56,16.32
2,10,51.34,108.34,128.94,3.95,23.74
2,11,63.75,131.27,120.26,10.0,11.57
2,12,57.81,124.18,116.08,9.54,21.64
2,13,60.34,113.91,123.65,5.94,18.81
2,14,53.53,109.14,113.1,10.0,30.0
2,15,53.14,95.58,124.19,10.0,7.98
2,16,55.23,112.64,104.06,9.93,21.29
2,17,58.17,125.03,120.96,6.55,18.02
2,18,51.45,98.23,98.49,2.77,28.97
2,19,57.59,105.85,119.17,10.0,10.8
2,20,51.7,103.24,111.17,8.87,20.0
2,21,51.11,108.75,115.88,10.0,25.73
2,22,67.17,150.37,107.94,10.0,30.0
2,23,58.35,111.08,117.76,5.92,16.84
3,0,58.6,95.73,108.95,5.93,28.81
3,1,57.78,102.25,134.3,4.17,30.0
3,2,52.45,129.6,114.75,10.0,30.0
3,3,54.86,86.23,103.04,8.63,30.0
3,4,50.8,98.78,131.23,10.0,10.68
3,5,64.21,110.33,108.47,10.0,30.0
3,6,58.17,97.96,115.84,10.0,15.3
3,7,53.5,121.82,107.11,10.0,27.79
3,8,57.11,126.29,121.87,10.0,30.0
3,9,61.48,111.49,127.83,4.6,30.0
3,10,55.24,117.53,108.47,8.89,30.0
3,11,61.11,107.59,112.75,5.38,21.77
3,12,55.57,101.5,137.72,2.29,10.32
3,13,53.84,95.72,117.93,1.04,30.0
3,14,53.2,108.77,126.15,9.68,30.0
3,15,57.1,116.14,125.85,10.0,18.58
3,16,57.22,127.03,131.19,4.36,30.0
3,17,49.82,116.78,133.3,4.65,30.0
3,18,57.4,122.08,109.65,7.59,23.31
3,19,62.79,100.81,105.52,8.45,30.0
3,20,44.56,107.62,124.05,10.0,30.0
3,21,51.91,90.96,115.22,4.68,15.05
3,22,56.44,108.07,107.86,6.48,30.0
3,23,58.52,132.16,95.56,2.88,30.0
4,0,56.51,121.6,135.02,7.65,18.13
4,1,55.54,103.27,122.91,4.91,28.92
4,2,56.25,130.15,98.28,10.0,20.04
4,3,47.66,100.9,131.95,9.86,26.24
4,4,50.6,115.71,138.67,6.95,12.89
4,5,62.14,93.92,140.24,5.23,30.0
4,6,59.04,99.74,139.87,10.0,19.17
4,7,48.79,124.52,119.92,10.0,30.0
4,8,57.49,102.94,103.91,6.37,30.0
4,9,51.59,115.13,139.01,9.95,30.0
4,10,59.1,119.97,120.61,6.11,30.0
4,11,55.41,115.22,135.12,3.99,20.09
4,12,50.24,131.08,112.98,8.29,30.0
4,13,68.89,92.36,126.73,10.0,25.83
4,14,58.46,112.54,120.18,4.98,29.56
4,15,55.72,116.94,128.53,10.0,2.21
4,16,52.12,118.44,131.27,10.0,17.66
4,17,48.48,131.69,118.31,10.0,30.0
4,18,66.86,122.88,122.85,5.8,17.14
4,19,61.3,110.16,117.45,3.33,30.0
4,20,50.4,130.51,128.11,1.98,30.0
4,21,49.88,120.59,125.31,10.0,18.06
4,22,59.29,104.27,106.43,9.88,30.0
4,23,64.17,108.87,100.11,7.05,15.13
5,0,51.58,132.04,106.66,10.0,26.15
5,1,54.66,105.53,117.61,10.0,30.0
5,2,53.06,122.82,103.77,6.52,20.83
5,3,60.52,99.95,139.34,10.0,30.0
5,4,50.4,107.1,133.62,10.0,1.56
5,5,53.46,114.57,128.69,4.15,14.08
5,6,53.36,124.49,140.15,8.15,28.11
5,7,55.98,108.99,97.58,5.47,23.83
5,8,53.97,91.54,110.56,5.34,12.93
5,9,53.92,125.94,131.55,7.8,30.0
5,10,53.73,131.91,115.91,8.99,11.07
5,11,59.23,108.36,112.23,4.56,30.0
5,12,57.31,117.06,103.39,5.31,6.94
5,13,52.3,133.63,129.73,10.0,30.0
5,14,48.87,98.77,95.42,6.78,30.0
5,15,55.72,116.57,93.71,10.0,30.0
5,16,73.72,127.2,115.17,10.0,30.0
5,17,59.05,116.29,122.21,10.0,30.0
5,18,49.22,114.73,116.77,9.07,20.12
5,19,55.13,129.69,101.73,9.43,13.74
5,20,52.94,107.79,119.19,7.77,22.63
5,21,51.43,109.99,100.87,3.71,30.0
5,22,61.12,91.05,125.86,2.79,24.56
5,23,56.15,121.47,132.52,10.0,30.0
6,0,58.57,106.82,149.72,10.0,26.41
6,1,55.2,131.56,104.55,2.97,30.0
6,2,50.43,127.93,95.89,10.0,29.73
6,3,54.49,116.62,128.62,10.0,17.34
6,4,55.55,100.56,113.62,9.25,30.0
6,5,54.71,116.38,112.66,10.0,29.49
6,6,65.14,109.01,125.78,10.0,30.0
6,7,51.05,107.51,125.44,10.0,14.92
6,8,52.87,100.7,129.77,4.22,30.0
6,9,57.63,112.5,126.17,5.12,30.0
6,10,64.85,121.23,130.42,3.9,28.39
6,11,55.25,106.31,128.04,10.0,30.0
6,12,63.4,105.41,107.43,5.42,30.0
6,13,50.91,121.96,125.05,10.0,1.35
6,14,58.43,112.03,98.69,10.0,26.33
6,15,58.88,93.31,125.89,6.99,4.44
6,16,56.19,123.98,124.87,7.63,15.52
6,17,58.54,124.21,101.38,10.0,30.0
6,18,56.65,121.65,121.49,10.0,30.0
6,19,55.69,120.79,121.04,4.85,16.71
6,20,53.06,108.85,126.49,9.7,30.0
6,21,53.34,115.33,111.45,10.0,30.0
6,22,60.07,91.22,116.29,10.0,26.87
6,23,55.25,108.37,116.79,6.55,21.42
7,0,56.57,114.92,96.11,1.85,30.0
7,1,57.62,105.25,136.03,10.0,24.43
7,2,60.27,112.56,124.37,7.37,25.6
7,3,65.01,108.59,128.96,9.1,30.0
7,4,60.17,129.11,119.93,6.07,25.74
7,5,49.58,116.23,99.5,8.92,10.2
7,6,54.64,108.62,129.82,10.0,30.0
7,7,48.33,117.36,129.51,2.87,28.48
