Sample_Number,Hour,Load_L1,Load_L2,Load_L3,Wind_W1,Wind_W2
1,1,112,120,112,10,30
1,2,120,120,120,30,10
1,3,120,120,56,10,10
1,4,120,112,112,10,30
1,5,112,56,112,10,30
1,6,120,56,120,30,10
1,7,56,120,56,30,30
1,8,112,112,112,10,10
1,9,56,56,56,30,10
1,10,120,112,112,30,10
1,11,120,56,56,10,30
1,12,112,112,120,30,30
1,13,120,120,56,10,10
1,14,120,120,112,30,30
1,15,120,56,112,10,10
1,16,112,56,112,10,30
1,17,56,112,112,30,30
1,18,120,120,56,10,10
1,19,120,56,56,30,10
1,20,56,120,120,30,10
1,21,112,112,112,10,30
1,22,120,120,112,10,10
1,23,112,112,120,10,30
1,24,56,112,56,30,10
2,1,112,56,120,10,10
2,2,56,112,112,10,10
2,3,56,112,120,30,30
2,4,112,120,120,30,30
2,5,56,112,120,10,30
2,6,120,112,112,30,30
2,7,120,56,112,30,10
2,8,120,56,120,30,30
2,9,112,112,56,10,30
2,10,112,56,112,10,10
2,11,112,120,112,10,10
2,12,56,112,56,30,30
2,13,112,112,112,10,10
2,14,56,112,112,10,30
2,15,56,120,56,10,10
2,16,120,120,112,10,30
2,17,112,112,120,30,30
2,18,56,112,120,30,10
2,19,112,56,120,30,30
2,20,120,56,112,30,30
2,21,112,120,56,30,10
2,22,120,112,56,30,10
2,23,56,120,112,10,10
2,24,56,120,120,30,10
3,1,56,56,56,30,10
3,2,56,112,112,30,30
3,3,120,112,120,30,30
3,4,112,56,56,10,10
3,5,112,112,120,30,30
3,6,112,56,56,10,30
3,7,120,112,112,10,30
3,8,120,56,120,10,10
3,9,56,56,112,10,10
3,10,56,120,56,30,10
3,11,112,112,112,30,10
3,12,112,56,120,10,30
3,13,120,112,56,10,30
3,14,112,56,112,30,10
3,15,120,56,112,30,30
3,16,112,120,56,30,30
3,17,112,120,56,10,30
3,18,120,56,112,10,10
3,19,112,56,56,30,30
3,20,56,56,120,10,30
3,21,56,120,56,10,10
3,22,56,112,56,30,30
3,23,120,120,120,30,10
3,24,112,120,120,10,10
4,1,112,120,120,30,10
4,2,112,112,112,30,10
4,3,56,56,112,10,30
4,4,112,56,56,10,30
4,5,112,112,120,10,10
4,6,120,120,56,30,10
4,7,112,112,120,30,10
4,8,112,120,112,10,30
4,9,56,112,112,10,10
4,10,120,112,120,10,10
4,11,56,112,112,30,10
4,12,56,56,56,30,10
4,13,56,120,112,10,30
4,14,120,112,112,30,10
4,15,112,120,112,30,30
4,16,120,120,56,10,10
4,17,56,120,56,10,10
4,18,120,56,112,30,10
4,19,56,56,56,30,10
4,20,56,56,120,10,10
4,21,120,56,56,30,30
4,22,112,56,120,30,30
4,23,120,120,120,30,30
4,24,112,112,56,30,30
5,1,120,56,120,10,30
5,2,56,112,56,10,10
5,3,56,112,56,10,30
5,4,120,120,56,30,10
5,5,112,112,112,10,30
5,6,120,112,56,30,10
5,7,120,56,56,10,30
5,8,112,56,120,10,30
5,9,112,56,120,30,30
5,10,56,112,56,10,30
5,11,56,56,120,10,10
5,12,120,56,56,10,30
5,13,112,56,120,10,30
5,14,56,56,56,10,10
5,15,56,56,112,30,30
5,16,56,56,112,10,10
5,17,112,120,120,10,10
5,18,112,56,56,10,10
5,19,120,56,112,10,30
5,20,120,56,112,30,30
5,21,112,56,120,30,10
5,22,120,56,56,30,30
5,23,56,112,120,30,30
5,24,112,120,120,10,10
6,1,112,112,112,10,30
6,2,120,120,56,10,10
6,3,120,120,56,10,10
6,4,112,56,56,10,10
6,5,112,112,56,30,30
6,6,112,120,112,30,30
6,7,120,56,120,30,30
6,8,120,112,112,30,30
6,9,112,112,120,10,30
6,10,120,56,112,30,10
6,11,112,112,112,30,30
6,12,112,120,56,30,30
6,13,56,56,56,10,30
6,14,56,120,112,30,10
6,15,120,120,120,10,30
6,16,112,120,112,10,10
6,17,112,112,56,10,10
6,18,56,56,112,10,10
6,19,56,112,112,30,30
6,20,112,112,120,10,10
6,21,112,56,120,30,30
6,22,56,120,120,30,10
6,23,112,56,112,30,10
6,24,120,56,120,10,30
7,1,120,120,56,30,10
7,2,56,120,112,30,10
7,3,112,56,56,10,10
7,4,56,112,120,30,30
7,5,112,56,120,10,30
7,6,56,56,120,30,30
7,7,112,120,112,30,30
7,8,56,120,120,30,10
7,9,112,56,56,10,30
7,10,120,120,120,10,30
7,11,112,120,120,30,30
7,12,120,56,120,10,30
7,13,56,120,120,10,30
7,14,112,120,56,30,10
7,15,56,56,120,30,30
7,16,112,112,56,30,30
7,17,112,112,56,30,10
7,18,112,112,112,10,10
7,19,56,112,112,10,30
7,20,56,56,56,30,10
7,21,112,56,112,10,10
7,22,112,120,120,10,30
7,23,120,120,120,30,10
7,24,120,56,112,30,30
8,1,120,112,120,30,10
8,2,56,112,120,30,10
8,3,56,112,112,30,30
8,4,56,56,112,30,30
8,5,56,120,112,30,10
8,6,120,56,120,30,30
8,7,112,56,120,30,30
8,8,120,112,112,30,30
8,9,120,120,56,30,10
8,10,112,112,56,10,30
8,11,120,56,56,10,30
8,12,112,112,56,30,30
8,13,112,112,120,10,30
8,14,56,120,56,10,30
8,15,112,112,112,30,10
8,16,112,112,56,10,30
8,17,56,112,112,30,10
8,18,112,120,56,30,10
8,19,112,112,56,10,10
8,20,56,56,120,30,10
8,21,112,120,120,30,30
8,22,56,112,120,30,30
8,23,120,120,56,30,10
8,24,56,56,112,30,10
9,1,120,112,112,30,10
9,2,56,120,112,10,30
9,3,120,56,120,30,10
9,4,120,120,56,10,10
9,5,120,120,112,30,10
9,6,120,112,120,10,10
9,7,112,120,56,30,10
9,8,56,56,120,10,30
9,9,112,56,112,30,10
9,10,112,112,120,30,30
9,11,120,120,120,30,10
9,12,120,112,112,30,10
9,13,56,56,120,10,10
9,14,120,112,120,10,10
9,15,120,56,112,30,30
9,16,112,120,120,30,30
9,17,112,112,120,30,30
9,18,120,56,56,10,10
9,19,112,56,56,10,30
9,20,112,120,112,10,10
9,21,56,112,112,10,30
9,22,112,56,112,10,10
9,23,56,112,56,10,30
9,24,112,56,112,10,10
10,1,120,56,112,30,10
10,2,56,112,56,30,30
10,3,112,120,120,10,30
10,4,56,56,56,10,30
10,5,112,120,112,30,30
10,6,120,120,56,30,10
10,7,120,120,120,30,10
10,8,120,112,120,10,30
10,9,56,120,56,10,10
10,10,120,120,120,10,10
10,11,112,120,56,10,10
10,12,56,56,120,30,10
10,13,120,112,112,30,30
10,14,112,120,56,10,10
10,15,112,56,56,10,30
10,16,120,112,56,30,10
10,17,120,112,56,10,30
10,18,120,112,56,30,10
10,19,56,56,56,10,10
10,20,120,112,112,30,10
10,21,112,56,112,30,10
10,22,112,120,56,10,30
10,23,120,120,112,10,30
10,24,56,56,112,10,10
11,1,56,112,56,30,10
11,2,56,120,112,10,30
11,3,112,56,112,10,30
11,4,120,112,112,10,10
11,5,120,120,112,10,30
11,6,56,112,120,30,10
11,7,112,56,120,30,30
11,8,56,56,56,10,10
11,9,120,112,120,10,30
11,10,120,56,112,10,30
11,11,56,120,112,10,10
11,12,56,120,56,10,10
11,13,120,120,56,30,10
11,14,56,120,112,30,10
11,15,56,112,56,10,30
11,16,112,120,112,10,10
11,17,56,56,56,30,10
11,18,56,120,120,30,10
11,19,120,112,112,30,10
11,20,56,56,112,10,10
11,21,120,120,56,10,10
11,22,120,112,56,30,30
11,23,56,120,120,10,30
11,24,112,120,120,30,10
12,1,112,56,120,30,30
12,2,112,56,112,30,30
12,3,112,56,112,30,10
12,4,56,56,56,30,10
12,5,56,112,56,10,10
12,6,56,56,112,10,10
12,7,120,56,56,30,30
12,8,120,120,120,10,10
12,9,120,120,56,10,10
12,10,112,120,120,30,30
12,11,112,112,120,30,30
12,12,112,112,56,30,30
12,13,120,120,120,10,30
12,14,120,120,56,30,10
12,15,56,56,112,30,10
12,16,120,120,112,10,10
12,17,120,56,112,10,10
12,18,56,120,56,30,10
12,19,120,120,112,30,30
12,20,120,56,112,10,10
12,21,120,112,112,30,10
12,22,120,120,56,30,30
12,23,120,56,56,30,30
12,24,120,112,56,30,10
13,1,56,112,112,10,10
13,2,112,56,112,30,30
13,3,112,112,112,10,10
13,4,120,112,56,30,30
13,5,112,120,112,30,30
13,6,56,56,112,30,30
13,7,120,56,112,10,30
13,8,56,120,120,10,30
13,9,56,56,112,30,30
13,10,56,120,56,10,30
13,11,120,56,112,30,10
13,12,120,112,56,10,10
13,13,56,56,112,30,10
13,14,120,56,56,10,30
13,15,120,56,56,30,30
13,16,120,112,112,30,30
13,17,56,112,56,10,10
13,18,56,120,112,30,10
13,19,120,112,112,30,30
13,20,120,120,112,10,10
13,21,120,120,120,10,30
13,22,112,120,112,10,10
13,23,56,120,120,10,30
13,24,112,56,120,30,10
14,1,56,112,56,30,10
14,2,112,56,56,10,30
14,3,56,120,112,10,30
14,4,112,56,120,10,10
14,5,56,112,112,30,30
14,6,120,120,56,10,10
14,7,112,112,56,30,30
14,8,56,56,112,10,30
14,9,56,56,120,10,10
14,10,120,120,112,10,30
14,11,56,120,112,10,30
14,12,120,120,56,10,30
14,13,112,112,112,10,30
14,14,56,56,112,30,10
14,15,56,120,112,30,10
14,16,120,120,56,30,10
14,17,112,112,56,10,10
14,18,56,56,112,10,30
14,19,120,56,120,30,10
14,20,120,56,56,30,30
14,21,120,56,112,10,10
14,22,56,112,112,10,10
14,23,112,56,56,10,10
14,24,112,56,112,30,30
15,1,56,112,120,10,30
15,2,56,56,120,30,10
15,3,56,56,112,10,30
15,4,112,56,56,10,10
15,5,56,112,56,30,30
15,6,120,120,56,10,10
15,7,56,56,112,10,10
15,8,56,56,56,30,10
15,9,112,112,56,10,30
15,10,112,120,56,30,10
15,11,112,112,112,30,10
15,12,56,120,112,30,10
15,13,112,120,112,10,10
15,14,120,56,56,10,10
15,15,112,120,56,30,10
15,16,56,56,112,30,10
15,17,120,56,56,10,30
15,18,120,120,56,10,10
15,19,112,112,120,30,10
15,20,56,112,56,10,30
15,21,56,120,112,10,10
15,22,112,120,120,10,30
15,23,56,112,56,10,10
15,24,56,56,112,30,30
16,1,112,56,56,10,10
16,2,120,56,56,10,10
16,3,112,112,56,30,30
16,4,120,112,56,30,30
16,5,112,112,112,30,30
16,6,120,56,120,10,30
16,7,120,56,112,30,30
16,8,112,120,112,10,10
16,9,112,112,112,30,30
16,10,120,120,112,30,10
16,11,120,112,56,10,30
16,12,112,120,112,30,30
16,13,120,120,112,10,10
16,14,56,112,56,30,10
16,15,56,112,112,10,30
16,16,56,56,112,30,10
16,17,112,112,112,30,10
16,18,112,56,112,10,10
16,19,112,56,120,10,10
16,20,120,112,56,30,30
16,21,112,120,56,10,10
16,22,56,120,56,30,10
16,23,112,56,56,10,10
16,24,112,56,56,30,30
17,1,120,120,56,10,30
17,2,120,112,120,10,10
17,3,112,120,112,30,30
17,4,120,56,56,30,30
17,5,56,56,112,30,10
17,6,56,112,120,30,30
17,7,112,112,112,30,10
17,8,56,120,120,10,10
17,9,112,56,120,10,30
17,10,120,112,112,10,10
17,11,56,56,56,30,30
17,12,112,56,120,10,10
17,13,56,112,120,10,30
17,14,56,112,56,10,30
17,15,56,112,56,10,10
17,16,120,120,112,10,10
17,17,112,112,112,10,10
17,18,56,56,120,30,10
17,19,120,112,120,10,10
17,20,112,56,120,30,30
17,21,120,56,56,30,30
17,22,112,120,56,30,30
17,23,56,56,112,10,30
17,24,56,56,112,30,10
18,1,112,112,112,10,30
18,2,56,120,120,30,30
18,3,120,112,112,10,30
18,4,56,120,56,10,30
18,5,112,56,56,30,30
18,6,120,120,120,30,30
18,7,120,112,112,30,10
18,8,120,56,120,30,10
18,9,120,120,112,30,10
18,10,56,120,56,30,10
18,11,56,112,56,10,30
18,12,112,112,112,30,10
18,13,112,56,112,30,10
18,14,120,120,112,10,10
18,15,112,120,56,10,30
18,16,56,120,120,10,10
18,17,56,120,120,30,30
18,18,112,112,112,10,30
18,19,112,56,120,30,30
18,20,56,112,112,30,30
18,21,56,112,112,30,10
18,22,120,112,56,30,10
18,23,112,120,56,10,30
18,24,112,112,112,10,30
19,1,112,112,112,10,30
19,2,120,56,120,30,10
19,3,112,120,112,10,10
19,4,112,56,56,10,30
19,5,112,56,56,10,10
19,6,120,56,56,30,10
19,7,120,120,120,30,30
19,8,112,56,56,30,10
19,9,112,112,112,30,30
19,10,56,56,120,30,30
19,11,56,56,56,10,30
19,12,56,120,56,30,30
19,13,56,120,112,10,30
19,14,56,56,56,30,10
19,15,120,112,112,10,30
19,16,120,112,120,30,10
19,17,112,120,112,10,30
19,18,112,120,120,30,10
19,19,112,112,120,10,30
19,20,112,112,120,30,30
19,21,120,112,112,30,30
19,22,112,112,120,10,10
19,23,120,56,120,10,10
19,24,112,112,120,30,30
20,1,56,112,120,30,30
20,2,112,56,112,10,10
20,3,56,56,56,30,30
20,4,112,112,112,30,10
20,5,120,120,112,10,10
20,6,56,112,120,10,10
20,7,120,120,56,30,30
20,8,120,112,112,10,10
20,9,112,56,120,30,30
20,10,112,120,120,10,30
20,11,56,112,120,10,10
20,12,120,56,120,10,30
20,13,56,56,56,10,30
20,14,56,56,112,10,30
20,15,112,112,56,30,10
20,16,120,120,120,30,30
20,17,120,112,112,10,10
20,18,112,112,120,30,30
20,19,112,56,120,30,10
20,20,112,56,112,30,10
20,21,56,56,56,30,30
20,22,112,56,120,10,30
20,23,112,120,56,10,30
20,24,56,112,120,10,30
21,1,112,120,56,30,30
21,2,112,112,112,30,30
21,3,56,112,120,10,10
21,4,112,112,56,30,30
21,5,120,120,120,30,10
21,6,56,120,56,30,30
21,7,56,120,120,30,30
21,8,56,56,112,10,10
21,9,112,112,112,30,30
21,10,112,56,56,30,30
21,11,56,120,56,10,30
21,12,56,120,56,30,10
21,13,112,112,112,10,30
21,14,56,112,56,10,30
21,15,112,56,120,10,30
21,16,112,112,112,30,10
21,17,56,120,112,10,10
21,18,112,112,120,10,30
21,19,112,56,120,30,30
21,20,120,112,56,10,30
21,21,56,112,112,30,30
21,22,112,56,120,10,10
