ts;Nordpool Elspot Prices - hourly price DK-DK2 EUR/MWh | 9F7J/00/00/Nordpool/DK2/hourly_spot_eur | 3038;Nordpool Elspot Prices - hourly price DK-DK2 DKK/MWh | 9F7J/00/00/Nordpool/DK2/hourly_spot_dkk | 4820
02/01/2023 00:00;57.91;430.65
02/01/2023 01:00;51.67;384.24
02/01/2023 02:00;52.86;393.09
02/01/2023 03:00;44.16;328.39
02/01/2023 04:00;50.08;372.42
02/01/2023 05:00;70.73;525.98
02/01/2023 06:00;104.08;773.99
02/01/2023 07:00;140.64;1045.86
02/01/2023 08:00;145.98;1085.57
02/01/2023 09:00;147.05;1093.53
02/01/2023 10:00;145.61;1082.82
02/01/2023 11:00;143.35;1066.02
02/01/2023 12:00;144.38;1073.68
02/01/2023 13:00;143.76;1069.07
02/01/2023 14:00;148.2;1102.08
02/01/2023 15:00;155.34;1155.18
02/01/2023 16:00;162.89;1211.32
02/01/2023 17:00;170;1264.2
02/01/2023 18:00;174.74;1299.45
02/01/2023 19:00;164.46;1223
02/01/2023 20:00;153;1137.78
02/01/2023 21:00;141.67;1053.52
02/01/2023 22:00;131.67;979.16
02/01/2023 23:00;118.06;877.95
03/01/2023 00:00;78.81;586.1
03/01/2023 01:00;73.93;549.81
03/01/2023 02:00;73.94;549.89
03/01/2023 03:00;71.44;531.29
03/01/2023 04:00;72.33;537.91
03/01/2023 05:00;77.14;573.68
03/01/2023 06:00;102.48;762.14
03/01/2023 07:00;154.96;1152.43
03/01/2023 08:00;163.92;1219.06
03/01/2023 09:00;167.07;1242.49
03/01/2023 10:00;168.57;1253.64
03/01/2023 11:00;169.49;1260.48
03/01/2023 12:00;164.5;1223.37
03/01/2023 13:00;160.91;1196.67
03/01/2023 14:00;163.06;1212.66
03/01/2023 15:00;167.73;1247.39
03/01/2023 16:00;166.61;1239.07
03/01/2023 17:00;170.72;1269.63
03/01/2023 18:00;168.93;1256.32
03/01/2023 19:00;160.99;1197.27
03/01/2023 20:00;149.62;1112.71
03/01/2023 21:00;131.05;974.61
03/01/2023 22:00;114.27;849.82
03/01/2023 23:00;93.66;696.54
04/01/2023 00:00;82.88;616.36
04/01/2023 01:00;78.84;586.32
04/01/2023 02:00;69.93;520.06
04/01/2023 03:00;69.26;515.07
04/01/2023 04:00;71.75;533.59
04/01/2023 05:00;81.73;607.81
04/01/2023 06:00;80.11;595.76
04/01/2023 07:00;83.33;619.71
04/01/2023 08:00;86.27;641.57
04/01/2023 09:00;85.37;634.88
04/01/2023 10:00;75.95;564.83
04/01/2023 11:00;81.71;607.66
04/01/2023 12:00;80.89;601.56
