ts,Hasle Common 10kV Lines Voltage | has_fel_10kvskinnespend | 804133,Hasle Vind Active Power | has_vin_effekt | 804123,Hasle Vind Current | has_vin_belastning | 804117,Nordpool Elspot Prices - hourly price DK-DK2 EUR/MWh | 9F7J/00/00/Nordpool/DK2/hourly_spot_eur | 3038,Nordpool Elspot Prices - hourly price DK-DK2 DKK/MWh | 9F7J/00/00/Nordpool/DK2/hourly_spot_dkk | 4820,Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270,Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286,Weather forecast for wind speed y_direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/y_wind_10m | 128318,Weather forecast for wind speed x_direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/x_wind_10m | 128302,Weather forecast for wind direction at Nordhavn | 9F7J/PJ/84/MET-Norway/forecast/wind_direction | 797979,Weather forecast for wind speed at Nordhavn | 9F7J/PJ/84/MET-Norway/forecast/wind_speed | 797995,Weather forecast for wind speed x_direction at Nordhavn | 9F7J/PJ/84/MET-Norway/forecast/x_wind_10m | 798011,Weather forecast for wind speed y_direction at Nordhavn | 9F7J/PJ/84/MET-Norway/forecast/y_wind_10m | 798027,Observed mean wind speed the past hour at Nex - DMI station 06197 | 9F7Q/33/4W/DMI/metObs/wind_speed_past1h/06197 | 406512,Observed mean temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_mean_past1h/06193 | 406560,Observed mean temperature past hour at Nex - DMI station 06197 | 9F7Q/33/4W/DMI/metObs/temp_mean_past1h/06197 | 406432,Observed mean wind speed the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_speed_past1h/06193 | 406640,Observed mean wind direction the past hour at Nex - DMI station 06197 | 9F7Q/33/4W/DMI/metObs/wind_dir_past1h/06197 | 406496,Observed mean wind direction the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_dir_past1h/06193 | 406624,HourUTC | HourUTC | 804694,mFRRDownActBal | mFRRDownActBal | 804724,HourDK | HourDK | 804695,PriceArea | PriceArea | 804696,mFRRUpActSpec | mFRRUpActSpec | 804713,mFRRDownActSpec | mFRRDownActSpec | 804714,ImbalanceMWh | ImbalanceMWh | 804715,ImbalancePriceEUR | ImbalancePriceEUR | 804716,ImbalancePriceDKK | ImbalancePriceDKK | 804717,BalancingPowerPriceUpEUR | BalancingPowerPriceUpEUR | 804718,BalancingPowerPriceUpDKK | BalancingPowerPriceUpDKK | 804719,BalancingPowerPriceDownEUR | BalancingPowerPriceDownEUR | 804720,BalancingPowerPriceDownDKK | BalancingPowerPriceDownDKK | 804721,mFRRUpActBal | mFRRUpActBal | 804722
2023-01-02 00:00:00,10.402319478988549,0.0,0.0,57.91,430.65,221.19667053,3.22723365,2.42569065,2.12832069,228.66542053,7.76531935,5.83730507,5.12149143,4.1,8.8,8.1,7.7,237.0,219.0,02/01/2023 00:00,0.0,02/01/2023 01:00,DK2,0.0,0.0,41.299999,76.43,568.349976,76.43,568.349976,51.669998,384.229248,0.0
2023-01-02 01:00:00,10.479417800903308,0.0,0.0,51.67,384.24,213.30570984,2.60298991,2.17380047,1.43172264,219.54008484,6.88228703,4.38777733,5.30221844,4.1,9.1,8.1,7.7,241.0,219.0,02/01/2023 01:00,0.0,02/01/2023 02:00,DK2,0.0,0.0,60.200001,85.629997,636.789978,85.629997,636.789978,52.860001,393.09494,0.0
2023-01-02 02:00:00,10.473786877047646,0.0,0.0,52.86,393.09,200.90763855,2.39347696,2.23517418,0.85720444,211.72013855,6.60148478,3.47829819,5.61066246,2.2,9.4,7.4,5.1,222.0,207.0,02/01/2023 02:00,0.0,02/01/2023 03:00,DK2,0.0,0.0,79.0,32.27,240.0,44.16,328.428894,32.27,240.0,0.0
2023-01-02 03:00:00,10.47736197504493,0.0,0.0,44.16,328.39,199.19537354,2.51231933,2.37184525,0.82874107,207.70318604,7.63145971,3.55628014,6.75221634,3.1,8.9,7.6,4.7,210.0,199.0,02/01/2023 03:00,0.0,02/01/2023 04:00,DK2,0.0,0.0,105.300003,50.080002,372.420013,50.080002,372.420013,50.080002,372.420013,0.0
2023-01-02 04:00:00,10.401084126652865,0.0,0.0,50.08,372.42,174.69546509,1.61293364,1.60605145,-0.14678383,206.55484009,7.37367582,3.30536461,6.59140301,2.0,9.3,7.8,4.2,211.0,202.0,02/01/2023 04:00,0.0,02/01/2023 05:00,DK2,0.0,0.0,196.399994,70.730003,525.97998,70.730003,525.97998,70.730003,525.97998,0.0
2023-01-02 05:00:00,10.464190404923228,0.0,0.0,70.73,525.98,158.43092346,1.66576433,1.55034637,-0.6101017,199.56373596,6.81469011,2.28931236,6.41851044,3.6,9.0,8.1,3.7,188.0,196.0,02/01/2023 05:00,8.75,02/01/2023 06:00,DK2,0.0,0.0,-146.100006,43.0,319.769989,104.080002,773.992126,43.0,319.769989,0.0
2023-01-02 06:00:00,10.473586201667874,0.0,0.0,104.08,773.99,155.91723633,2.16585255,1.97801685,-0.88141823,192.77661133,4.83430958,1.07463646,4.71336842,3.9,8.5,8.1,3.4,165.0,194.0,02/01/2023 06:00,5.42,02/01/2023 07:00,DK2,0.0,0.0,-393.399994,140.639999,1045.869995,140.639999,1045.869995,77.0,572.61084,0.0
2023-01-02 07:00:00,10.499188423156864,0.0,0.0,140.64,1045.86,157.11886597,3.18350124,2.93487358,-1.23447037,168.41574097,5.24160671,-1.0459938,5.13604546,3.0,8.4,7.6,1.4,128.0,147.0,02/01/2023 07:00,0.0,02/01/2023 08:00,DK2,0.0,0.0,-458.899994,145.979996,1085.579956,145.979996,1085.579956,145.979996,1085.579956,0.0
2023-01-02 08:00:00,10.450514044080714,0.0,0.0,145.98,1085.57,170.7908783,4.27339411,4.21959686,-0.67816925,149.9783783,5.39741755,-2.69477081,4.67662811,2.8,7.3,7.4,2.0,125.0,100.0,02/01/2023 08:00,4.0,02/01/2023 09:00,DK2,0.0,0.0,-337.899994,125.0,929.559998,147.050003,1093.534424,125.0,929.559998,0.0
2023-01-02 09:00:00,10.461066528603075,0.0,0.0,147.05,1093.53,189.89077759,5.09395695,5.0173502,0.88142967,136.56265259,5.63790226,-3.87150002,4.09840488,2.2,8.6,7.4,4.9,165.0,182.0,02/01/2023 09:00,0.0,02/01/2023 10:00,DK2,0.0,0.0,-71.5,115.089996,855.840027,145.610001,1082.794922,115.089996,855.840027,0.0
