ts,"HourUTC | HourUTC | 804694","mFRRDownActBal | mFRRDownActBal | 804724","PriceArea | PriceArea | 804696","mFRRUpActSpec | mFRRUpActSpec | 804713","mFRRDownActSpec | mFRRDownActSpec | 804714","ImbalanceMWh | ImbalanceMWh | 804715","ImbalancePriceDKK | ImbalancePriceDKK | 804717","BalancingPowerPriceUpDKK | BalancingPowerPriceUpDKK | 804719","BalancingPowerPriceDownDKK | BalancingPowerPriceDownDKK | 804721","mFRRUpActBal | mFRRUpActBal | 804722"
"2021-01-01 00:00:00","2021-01-01 00:00:00",0,DK2,,,,"358,570007","358,570007","358,570007",0
"2021-01-01 00:00:01","2021-01-01 00:00:00",0,DK1,,,,"358,570007","358,570007","358,570007",0
"2021-01-01 01:00:00","2021-01-01 01:00:00",0,DK2,,,,"332,450012","332,450012","332,450012",0
"2021-01-01 01:00:01","2021-01-01 01:00:00",0,DK1,,,,"332,450012","332,450012","332,450012",0
"2021-01-01 02:00:00","2021-01-01 02:00:00",0,DK2,,,,"319,350006","319,350006","319,350006",0
"2021-01-01 02:00:01","2021-01-01 02:00:00",0,DK1,,,,"319,350006","319,350006","319,350006",0
"2021-01-01 03:00:00","2021-01-01 03:00:00",0,DK2,,,,"300,529999","300,529999","300,529999",0
"2021-01-01 03:00:01","2021-01-01 03:00:00",0,DK1,,,,"300,529999","300,529999","300,529999",0
"2021-01-01 04:00:00","2021-01-01 04:00:00",0,DK2,,,,"299,119995","299,119995","299,119995",0
"2021-01-01 04:00:01","2021-01-01 04:00:00",0,DK1,,,,"299,119995","299,119995","299,119995",0
"2021-01-01 05:00:00","2021-01-01 05:00:00",0,DK2,,,,"294,869995","294,869995","294,869995",0
"2021-01-01 05:00:01","2021-01-01 05:00:00",0,DK1,,,,"294,869995","294,869995","294,869995",0
"2021-01-01 06:00:00","2021-01-01 06:00:00",0,DK2,,,,"298,299988","298,299988","298,299988",0
"2021-01-01 06:00:01","2021-01-01 06:00:00",0,DK1,,,,"298,299988","298,299988","298,299988",0
"2021-01-01 07:00:00","2021-01-01 07:00:00",0,DK2,,,,"307,079987","307,079987","307,079987",0
"2021-01-01 07:00:01","2021-01-01 07:00:00",0,DK1,,,,"307,079987","307,079987","307,079987",0
"2021-01-01 08:00:00","2021-01-01 08:00:00","61,099998",DK2,,,,"156,25","333,940002","156,25",0
"2021-01-01 08:00:01","2021-01-01 08:00:00","77,099998",DK1,,,,"156,25","333,940002","156,25",0
"2021-01-01 09:00:00","2021-01-01 09:00:00","59,099998",DK2,,,,"178,580002","334,829987","178,580002",0
"2021-01-01 09:00:01","2021-01-01 09:00:00","32,299999",DK1,,,,"178,580002","334,829987","178,580002",0
"2021-01-01 10:00:00","2021-01-01 10:00:00","91,199997",DK2,,,,"171,139999","351,200012","171,139999",0
"2021-01-01 10:00:01","2021-01-01 10:00:00","76,5",DK1,,,,"171,139999","351,200012","171,139999",0
"2021-01-01 11:00:00","2021-01-01 11:00:00",76,DK2,,,,"218,509995","377,839996","218,509995",0
"2021-01-01 11:00:01","2021-01-01 11:00:00","94,699997",DK1,,,,"218,509995","377,839996","218,509995",0
"2021-01-01 12:00:00","2021-01-01 12:00:00",55,DK2,,,,"226,149994","338,480011","226,149994",0
"2021-01-01 12:00:01","2021-01-01 12:00:00","70,800003",DK1,,,,"226,149994","338,480011","226,149994",0
