ts,"Nordpool Elspot Prices - hourly price DK-DK2 DKK/MWh | 9F7J/00/00/Nordpool/DK2/hourly_spot_dkk | 4820"
"2021-01-02 00:00:00","347,42"
"2021-01-02 01:00:00","315,72"
"2021-01-02 02:00:00","305,75"
"2021-01-02 03:00:00","297,64"
"2021-01-02 04:00:00","279,41"
"2021-01-02 05:00:00","290,20"
"2021-01-02 06:00:00","313,19"
"2021-01-02 07:00:00","334,55"
"2021-01-02 08:00:00","360,52"
"2021-01-02 09:00:00","386,93"
"2021-01-02 10:00:00","386,93"
"2021-01-02 11:00:00","388,05"
"2021-01-02 12:00:00","416,32"
"2021-01-02 13:00:00","386,93"
"2021-01-02 14:00:00","377,18"
"2021-01-02 15:00:00","397,72"
"2021-01-02 16:00:00","446,39"
"2021-01-02 17:00:00","461,34"
"2021-01-02 18:00:00","469,38"
"2021-01-02 19:00:00","462,61"
"2021-01-02 20:00:00","446,68"
"2021-01-02 21:00:00","409,48"
"2021-01-02 22:00:00","388,79"
"2021-01-02 23:00:00","360,52"
"2021-01-03 00:00:00","343,10"
"2021-01-03 01:00:00","309,47"
"2021-01-03 02:00:00","276,88"
"2021-01-03 03:00:00","261,77"
"2021-01-03 04:00:00","183,42"
"2021-01-03 05:00:00","177,47"
"2021-01-03 06:00:00","178,96"
"2021-01-03 07:00:00","184,54"
"2021-01-03 08:00:00","185,80"
"2021-01-03 09:00:00","190,86"
"2021-01-03 10:00:00","193,47"
"2021-01-03 11:00:00","200,09"
"2021-01-03 12:00:00","192,50"
"2021-01-03 13:00:00","192,20"
"2021-01-03 14:00:00","193,61"
"2021-01-03 15:00:00","197,19"
"2021-01-03 16:00:00","247,56"
"2021-01-03 17:00:00","327,11"
"2021-01-03 18:00:00","322,57"
"2021-01-03 19:00:00","207,75"
"2021-01-03 20:00:00","205,07"
"2021-01-03 21:00:00","201,20"
"2021-01-03 22:00:00","194,81"
"2021-01-03 23:00:00","185,43"
"2021-01-04 00:00:00","183,50"
"2021-01-04 01:00:00","178,96"
"2021-01-04 02:00:00","177,69"
"2021-01-04 03:00:00","178,81"
"2021-01-04 04:00:00","182,90"
"2021-01-04 05:00:00","192,28"
