ts,"Observed maximum temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_max_past1h/06193 | 406592","Observed mean intensity of global radiation in the latest hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/radia_glob_past1h/06193 | 406672","Observed minimum temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_min_past1h/06193 | 406608","Observed mean wind speed the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_speed_past1h/06193 | 406640","Observed mean humidity past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/humidity_past1h/06193 | 406576","Observed mean temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_mean_past1h/06193 | 406560","Observed mean wind direction the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_dir_past1h/06193 | 406624","Observed accumulated precipitation the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/precip_past1h/06193 | 406656"
"2021-01-15 16:00:00",-1.5,1,-2.3,7.7,78,-1.9,358,0
"2021-01-16 06:00:00",-3.2,0,-3.9,5.9,80,-3.5,304,0
"2021-01-16 14:00:00",1.1,54,0.5,9,80,0.8,343,0
"2021-01-18 06:00:00",-0.2,0,-0.6,4.2,76,-0.4,214,0
"2021-01-18 07:00:00",0.1,0,-0.2,4.3,75,-0.1,214,0
"2021-01-18 08:00:00",0,11,-0.5,4.5,76,-0.3,215,0
"2021-01-18 09:00:00",-0.1,58,-0.3,5.4,78,-0.2,216,0
"2021-01-18 10:00:00",0.4,85,-0.2,5.7,78,0.1,216,0
"2021-01-18 11:00:00",0.7,122,0.2,5.9,76,0.4,215,0
"2021-01-18 12:00:00",0.4,56,0.1,5.9,77,0.2,216,0
"2021-01-18 13:00:00",0.3,37,0,4.6,77,0.1,209,0
"2021-01-18 14:00:00",0.2,29,-0.1,3.1,77,0,195,0
"2021-01-18 15:00:00",0.1,16,0,3.4,79,0,199,0
"2021-01-18 17:00:00",0.2,0,-0.1,5.3,86,0,208,0
"2021-01-18 18:00:00",0.2,0,0,5.5,89,0,210,0
"2021-01-18 19:00:00",0.3,0,0.1,5.5,90,0.2,210,0
"2021-01-18 20:00:00",0.4,0,0.2,5.4,92,0.3,208,0
"2021-01-18 21:00:00",0.5,0,0.2,4.6,93,0.3,202,0
"2021-01-18 22:00:00",0.8,0,0.4,3.7,94,0.6,192,0
"2021-01-18 23:00:00",0.8,0,0.6,1.5,94,0.7,161,0
"2021-01-19 00:00:00",1.1,0,0.7,1.4,94,0.9,166,0
"2021-01-19 01:00:00",1.5,0,1.1,1.5,94,1.3,163,0.1
"2021-01-19 02:00:00",2.1,0,1.5,2.8,95,1.8,181,0
"2021-01-19 03:00:00",3.8,0,2.1,4.5,96,2.9,219,0
"2021-01-19 04:00:00",3.8,0,3.4,8.4,95,3.6,266,0.1
"2021-01-19 05:00:00",4,0,3.5,6.2,93,3.7,272,0
"2021-01-19 06:00:00",3.9,0,3.6,4.6,94,3.8,260,0.1
"2021-01-19 07:00:00",3.9,0,3.6,5.6,93,3.8,254,0
"2021-01-19 08:00:00",4.1,4,3.7,4.6,91,3.9,243,0
"2021-01-19 09:00:00",4,9,3.6,2.4,91,3.8,214,0.2
"2021-01-19 10:00:00",4,18,3.5,4.5,94,3.8,226,0.3
"2021-01-19 11:00:00",3.8,30,3.5,4.2,95,3.6,218,0.9
"2021-01-19 12:00:00",3.6,52,3.3,3.6,95,3.5,206,0.3
"2021-01-19 13:00:00",3.6,35,3.2,3.3,95,3.4,207,0.4
"2021-01-19 14:00:00",3.3,24,2.8,3.4,95,3,198,0.6
"2021-01-19 15:00:00",2.9,5,2.3,3.1,95,2.7,199,0.5
"2021-01-19 16:00:00",2.3,0,1.8,3.3,95,2,200,0.5
"2021-01-19 17:00:00",1.9,0,1.7,3.6,95,1.8,201,0.4
"2021-01-19 18:00:00",2,0,1.7,3.8,95,1.8,197,0.1
"2021-01-19 19:00:00",2.1,0,1.9,2.6,96,2,188,0
"2021-01-19 20:00:00",2.3,0,2,2.2,96,2.1,184,0
"2021-01-19 21:00:00",2.4,0,2.2,2,96,2.3,183,0
"2021-01-19 22:00:00",2.7,0,2.3,2.6,95,2.5,192,0
"2021-01-19 23:00:00",2.9,0,2.6,2.9,95,2.7,198,0
"2021-01-20 00:00:00",2.9,0,2.7,2.1,95,2.8,188,0
"2021-01-20 01:00:00",3,0,2.7,1.7,96,2.8,186,0.8
"2021-01-20 02:00:00",3.1,0,2.8,1.9,96,3,190,0.2
"2021-01-20 03:00:00",3.4,0,3,2.8,97,3.2,198,0.2
"2021-01-20 04:00:00",3.8,0,3.3,3.4,97,3.5,186,0.2
"2021-01-20 05:00:00",5.4,0,3.7,4.6,97,4.4,196,0.5
"2021-01-20 06:00:00",5.9,0,5.3,7.1,97,5.7,222,1.1
"2021-01-20 07:00:00",6.1,0,5.8,8.3,97,6,227,0.7
"2021-01-20 08:00:00",6,8,5.7,7.7,97,5.9,222,0.2
"2021-01-20 09:00:00",5.8,16,5.5,6.6,97,5.6,217,0.8
"2021-01-20 10:00:00",5.6,26,5.1,6.7,97,5.4,216,0.3
"2021-01-20 11:00:00",5.3,21,4.7,6.8,97,5,213,1.1
"2021-01-20 12:00:00",4.9,26,4.7,6.6,97,4.8,215,1
"2021-01-20 13:00:00",4.8,20,4.7,7.1,97,4.7,216,1.4
"2021-01-20 14:00:00",4.8,15,4.4,6.9,97,4.7,212,0.4
"2021-01-20 15:00:00",4.9,7,4.6,7.7,95,4.8,208,0.8
"2021-01-20 16:00:00",5.1,0,4.8,7.8,94,4.9,210,1.7
"2021-01-20 17:00:00",5.4,0,5,7.5,94,5.2,212,0.5
"2021-01-20 18:00:00",6.4,0,5.3,8.8,90,5.8,211,0.1
"2021-01-20 19:00:00",6.8,0,6.1,8.8,85,6.3,209,0
"2021-01-20 20:00:00",6.8,0,6.5,8.2,80,6.6,210,0
"2021-01-20 21:00:00",6.7,0,6.2,7.9,80,6.5,208,0
"2021-01-20 22:00:00",6.4,0,6,7.2,80,6.2,211,0
"2021-01-20 23:00:00",6.7,0,6.2,7.3,76,6.5,211,0
"2021-01-21 00:00:00",6.7,0,6,7.2,79,6.4,213,0
"2021-01-21 01:00:00",6.7,0,5.8,6.9,81,6.3,207,0.3
"2021-01-21 02:00:00",6.8,0,5.9,7.3,76,6.5,207,0
"2021-01-21 03:00:00",6.5,0,6,8.2,75,6.3,202,0
"2021-01-21 04:00:00",6.6,0,6.2,8.1,74,6.4,202,0
"2021-01-21 05:00:00",6.6,0,5.9,7.7,73,6.2,198,0
"2021-01-21 06:00:00",6.6,0,5.5,6.9,73,6,196,0
"2021-01-21 07:00:00",6.3,0,5.8,7.1,71,6.1,193,0
"2021-01-21 08:00:00",6.6,11,6.1,7.6,67,6.4,193,0
"2021-01-21 09:00:00",7.7,56,6.3,8,64,6.9,199,0
"2021-01-21 10:00:00",8.6,77,7.7,10.3,58,8.1,205,0
"2021-01-21 11:00:00",9,63,8.6,10.8,55,8.7,206,0
"2021-01-21 12:00:00",9.4,94,8.4,11,56,9,211,0
"2021-01-21 13:00:00",9.2,88,8.4,10.6,60,8.8,213,0
"2021-01-21 14:00:00",8.9,55,7.2,10,68,8.1,219,0
"2021-01-21 15:00:00",7.2,20,6.1,6.9,77,6.4,227,0
"2021-01-21 16:00:00",6.4,2,5.9,4.8,77,6.1,212,0
"2021-01-21 17:00:00",6.9,0,5.9,6.5,69,6.6,217,0
"2021-01-21 18:00:00",6.7,0,6,6.7,72,6.3,217,0
"2021-01-21 19:00:00",6.5,0,5.8,7.9,71,6.1,223,0
"2021-01-21 20:00:00",6.1,0,5.6,7.3,73,5.9,217,0
"2021-01-21 21:00:00",5.9,0,5.7,7.7,73,5.8,212,0
"2021-01-21 22:00:00",5.8,0,5.6,7.6,75,5.7,210,0
"2021-01-21 23:00:00",6.2,0,5.6,7.8,74,5.9,208,0
"2021-01-22 00:00:00",6.2,0,6,6.6,72,6.1,201,0
"2021-01-22 01:00:00",6,0,5.7,5.7,75,5.8,191,0
"2021-01-22 02:00:00",6.5,0,5.7,5.1,76,6,186,0
"2021-01-22 03:00:00",6.6,0,5.6,5.6,82,6.3,188,0.5
"2021-01-22 04:00:00",5.8,0,5.5,5.9,92,5.6,181,1.4
"2021-01-22 05:00:00",7.2,0,5.8,8.6,90,6.4,190,0.3
"2021-01-22 06:00:00",8.3,0,7.1,9.8,81,7.7,194,0
"2021-01-22 07:00:00",8.3,0,7.8,10,78,8,194,0
"2021-01-22 08:00:00",8.5,17,8,10,75,8.3,194,0
"2021-01-22 09:00:00",9,49,8.6,10.6,70,8.8,198,0
"2021-01-22 10:00:00",9,52,4.7,14.3,81,6.5,235,0
"2021-01-22 11:00:00",4.9,103,4.6,12.7,87,4.7,244,0
"2021-01-22 12:00:00",5,70,4.7,13,87,4.9,242,0
"2021-01-22 13:00:00",4.9,45,4.6,13.4,85,4.8,241,0
"2021-01-22 14:00:00",5,46,4.7,13.4,82,4.8,238,0
"2021-01-22 15:00:00",5,38,4.6,11.6,79,4.8,231,0
"2021-01-22 16:00:00",4.9,4,4.6,10.8,80,4.7,230,0
"2021-01-22 17:00:00",5.1,0,4.7,10.8,78,4.9,230,0
"2021-01-22 18:00:00",5,0,4.7,10.5,77,4.8,229,0
"2021-01-22 19:00:00",4.9,0,4.7,10.3,76,4.8,225,0
"2021-01-22 20:00:00",5,0,4.6,10.6,76,4.8,227,0
"2021-01-22 21:00:00",5,0,4.5,10.7,77,4.7,227,0
"2021-01-22 22:00:00",4.7,0,4.5,11.1,78,4.6,230,0
"2021-01-22 23:00:00",4.6,0,4.4,11.2,80,4.5,233,0
"2021-01-23 00:00:00",4.5,0,4.1,10.4,82,4.3,232,0
"2021-01-23 01:00:00",4.5,0,4,9.9,84,4.2,232,0
"2021-01-23 02:00:00",4.6,0,4,10.6,87,4.2,238,0
"2021-01-23 03:00:00",4.6,0,4.3,10.4,87,4.5,245,0
"2021-01-23 04:00:00",4.6,0,4.4,8.4,88,4.4,244,0
"2021-01-23 05:00:00",4.5,0,4.2,6.3,89,4.4,246,0
"2021-01-23 06:00:00",4.4,0,4.2,5.9,90,4.3,245,0
"2021-01-23 07:00:00",4.4,0,4.1,4.2,90,4.3,241,0
"2021-01-23 08:00:00",4.4,5,4.1,2.4,88,4.1,232,0
"2021-01-23 09:00:00",4.4,25,4.1,1.1,89,4.3,198,0
"2021-01-23 10:00:00",4.6,47,4.3,1,88,4.4,173,0
"2021-01-23 11:00:00",4.8,63,4.5,0.5,85,4.7,140,0
"2021-01-23 12:00:00",4.6,64,4.2,1,85,4.4,126,0
"2021-01-23 13:00:00",4.2,44,3.8,1.4,87,4,113,0
"2021-01-23 14:00:00",3.9,21,3.7,0.8,87,3.8,94,0
"2021-01-23 15:00:00",3.9,7,3.5,0,87,3.7,0,0
"2021-01-23 16:00:00",3.6,0,3.1,0.4,89,3.4,38,0
"2021-01-23 17:00:00",3.4,0,2.9,0.5,90,3.2,42,0
"2021-01-23 18:00:00",3.3,0,2.9,0.3,91,3.1,326,0
"2021-01-23 19:00:00",3.8,0,3,1.7,90,3.5,276,0
"2021-01-23 20:00:00",3.8,0,3.1,1.8,90,3.5,293,0
"2021-01-23 21:00:00",4.1,0,3.6,3.4,90,3.9,274,0
"2021-01-23 22:00:00",4.2,0,3.8,4,89,4,272,0
"2021-01-23 23:00:00",4,0,3.8,4.2,90,3.9,267,0
"2021-01-24 00:00:00",4.1,0,3.5,4.1,86,3.9,277,0
"2021-01-24 01:00:00",3.7,0,2.3,1.5,88,2.7,267,0
"2021-01-24 02:00:00",3.8,0,3.1,3.9,86,3.5,266,0
"2021-01-24 03:00:00",3.5,0,2.1,1.8,85,2.9,247,0
"2021-01-24 04:00:00",2.1,0,1.4,1,90,1.7,194,0
"2021-01-24 05:00:00",1.7,0,1,1.5,92,1.4,186,0
"2021-01-24 06:00:00",1.3,0,0.8,1.9,93,1.1,200,0
"2021-01-24 07:00:00",1.5,0,0.8,1.4,93,1.1,187,0
"2021-01-24 08:00:00",1.5,10,0.8,1.4,93,1.1,219,0
"2021-01-24 09:00:00",2.3,48,1.5,1.8,88,2.1,205,0
"2021-01-24 10:00:00",3.4,92,2.2,0.6,84,2.8,205,0
"2021-01-24 11:00:00",3.6,107,3.2,1.2,83,3.3,123,0
"2021-01-24 12:00:00",3.7,81,3.4,1.1,85,3.6,102,0
"2021-01-24 13:00:00",4,86,3.6,1.2,84,3.8,79,0
"2021-01-24 14:00:00",4.1,75,3.9,0.7,83,4,76,0
"2021-01-24 15:00:00",3.9,24,3.5,0.7,82,3.7,81,0
"2021-01-24 16:00:00",3.7,1,3.1,1.3,84,3.4,80,0
"2021-01-24 17:00:00",3.6,0,3.4,1.8,86,3.5,63,0
"2021-01-24 18:00:00",3.5,0,3.3,1.9,87,3.4,61,0
"2021-01-24 19:00:00",3.3,0,3,2.1,86,3.1,54,0
