ts,Hasle Common 10kV Lines Voltage | has_fel_10kvskinnespend | 804133,Hasle Vind Active Power | has_vin_effekt | 804123,Hasle Vind Current | has_vin_belastning | 804117,Weather forecast for the max air temperature for the coming 6 hours at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_max | 128206,Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270,Weather forecast for the precipitation amount for the coming 1 hour at Bornholm | 9F7P/00/00/MET-Norway/forecast/precipitation_amount_acc | 128238,Weather forecast for the relativehumidity amount  at Bornholm | 9F7P/00/00/MET-Norway/forecast/relative_humidity_2m | 128254,Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286,Weather forecast for wind speed y_direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/y_wind_10m | 128318,Weather forecast for solar shortwave flux at Bornholm | 9F7P/00/00/MET-Norway/forecast/integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time | 128334,Weather forecast for the minimum air temperature for the coming 6 hours at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_min | 128222,Weather forecast for wind speed x_direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/x_wind_10m | 128302,Weather forecast for the air temperature at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_2m | 128190,Observed maximum temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_max_past1h/06193 | 406592,Observed mean intensity of global radiation in the latest hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/radia_glob_past1h/06193 | 406672,Observed minimum temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_min_past1h/06193 | 406608,Observed mean wind speed the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_speed_past1h/06193 | 406640,Observed mean humidity past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/humidity_past1h/06193 | 406576,Observed mean temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_mean_past1h/06193 | 406560,Observed mean wind direction the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_dir_past1h/06193 | 406624,Observed accumulated precipitation the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/precip_past1h/06193 | 406656
2021-01-01 00:00:00,10.505371718586206,0.31004556619451373,19.13853627254737,275.5202,189.13286,0.0,0.84855705,3.7119732,3.6583672,3.21862e-10,275.3145,0.593647,275.51404,,,,,,,,
2021-01-01 01:00:00,10.49985164648,0.739963101234375,42.792530582113095,275.5063,191.73468,0.26904297,0.93790424,3.3582191,3.1760092,5.36271e-11,275.24734,0.7941017,275.36557,,,,,,,,
2021-01-01 02:00:00,10.440137902958334,0.8773312296884876,50.52353631765605,275.136,184.39082,0.16796875,0.974747,3.255157,3.3152847,4.291873e-10,275.08612,0.32813644,275.08374,,,,,,,,
2021-01-01 03:00:00,10.423413992,0.8423838736018519,47.93647725655303,274.88626,178.39856,0.0,0.97397584,3.1097689,3.4618826,1.608741e-10,274.93533,-0.328434,274.86594,,,,,,,,
2021-01-01 04:00:00,10.401765929111113,0.46917750423918575,28.816448756595236,274.9367,170.38286,0.6628418,0.9892498,3.090981,3.0481176,844160.0,274.63232,-0.46931458,274.8024,,,,,,,,
2021-01-01 05:00:00,10.445352145714285,0.5856570599904077,33.077181196991226,274.85104,160.84389,1.3227539,0.98676246,3.0284963,2.908619,748032.0,274.65363,-0.81503963,274.62445,,,,,,,,
2021-01-01 06:00:00,10.446638147125,0.42411909369876544,27.73688367068085,274.86084,161.75029,0.77124023,0.97637093,3.1693146,3.4707317,0.0,274.8299,-0.7902012,274.9706,,,,,,,,
2021-01-01 07:00:00,10.527620749090909,0.2956875303582474,19.408571227639342,274.6282,171.1016,0.2680664,0.9911869,3.5494955,3.1021347,0.0,274.75116,-0.7523031,274.7614,,,,,,,,
2021-01-01 08:00:00,10.4067850111875,0.8486129611751825,48.90459224744086,274.49707,178.17192,1.3942871,0.9994874,3.6481454,3.6441383,704.0,274.49274,-0.041610718,274.46426,,,,,,,,
2021-01-01 09:00:00,10.448844184879999,0.37663742337340156,21.72529907749315,274.5175,183.39076,0.0,0.9729371,3.8833945,4.4356604,12384.0,274.40753,0.26256084,274.48663,,,,,,,,
2021-01-01 10:00:00,10.44927203147826,0.3808874812019465,21.758286809446602,274.52533,177.06264,3.5517578,0.98987424,3.7881956,3.987197,39840.0,274.18094,-0.25028992,274.24554,,,,,,,,
2021-01-01 11:00:00,10.494751206724137,0.19003362953174602,14.820163754269231,273.9854,184.08595,4.8007812,0.9935363,3.8964877,3.5496492,204192.0,274.52435,1.1706696,274.37735,,,,,,,,
2021-01-01 12:00:00,10.487421194833333,0.10930952987165775,6.63993990425,274.5244,183.21877,0.40405273,0.95566404,2.9033415,2.7288246,285376.0,274.5244,0.4171543,274.5244,,,,,,,,
2021-01-01 13:00:00,10.485169165657142,0.08179725308196721,4.834131860666667,274.50043,189.18048,0.50390625,0.9765686,3.2264812,2.4200897,83920.0,274.27985,0.5667019,274.46448,,,,,,,,
2021-01-01 14:00:00,10.448593721170731,0.0671224095276243,4.474568410363637,274.6229,188.2111,0.095214844,0.98399925,2.3455527,2.3210888,114016.0,274.59653,0.34587288,274.6764,,,,,,,,
2021-01-01 15:00:00,10.468938623190477,0.0951381770026178,6.3869136174920635,274.74423,191.64082,0.0,0.9689835,2.4391186,1.6419926,183168.0,274.667,0.50263214,274.74423,,,,,,,,
2021-01-01 16:00:00,10.455465714145832,0.17550319544050633,12.080323152936709,274.67337,195.71883,0.7199707,0.9657335,2.198652,2.0893812,225536.0,274.66708,0.6849947,274.81723,,,,,,,,
2021-01-01 17:00:00,10.46691405775,0.283345349391924,18.029023824669423,274.72754,188.3829,0.15136719,0.9685563,1.9752262,1.9683018,0.0,274.62164,0.7167187,274.7838,,,,,,,,
2021-01-01 18:00:00,10.452211987045455,0.7007542928163265,39.36185189334013,274.62436,201.77359,0.7241211,0.9653061,2.409558,2.078538,0.0,274.65634,0.83332443,274.62436,,,,,,,,
2021-01-01 19:00:00,10.469201238447368,0.620603796954023,35.51665150414706,274.62454,207.15666,0.15722656,0.95878875,2.457484,2.046854,5.41742e-11,274.35968,1.3950224,274.36475,,,,,,,,
2021-01-01 20:00:00,10.469118380425,0.9660384245202702,54.844358293933325,274.62704,220.11734,0.77001953,0.9446144,2.0879076,1.7920666,225536.0,274.7271,1.016943,274.22348,,,,,,,,
2021-01-01 21:00:00,10.434300509227272,0.7785950102022989,45.334850717933826,274.59055,202.64873,0.16992188,0.96347576,1.9344504,1.3415585,196480.0,274.23636,0.98762894,274.59055,,,,,,,,
2021-01-01 22:00:00,10.459290931965517,0.5511624784244604,31.6031836982605,274.9578,223.37503,0.050048828,0.94717956,2.3220158,1.7991209,5.41386e-11,274.59216,1.3003912,274.79523,,,,,,,,
2021-01-01 23:00:00,10.440165273645162,0.56169480359375,32.6366493572,274.7976,219.35178,0.030273438,0.93768895,1.9801843,1.7040434,1.082631e-10,274.4748,1.2314053,274.76785,,,,,,,,
2021-01-02 00:00:00,10.4409922955625,0.8787765873579418,49.624561066138895,275.02832,227.69641,0.16259766,0.95587754,2.7702491,1.7231941,1.623521e-10,274.74185,1.9190893,275.02832,,,,,,,,
2021-01-02 01:00:00,10.457594172133334,0.4980112391454139,29.161543676070064,275.06284,221.65671,0.0029296875,0.9522913,2.3645527,1.6593132,0.0,274.81342,1.7292118,274.9179,,,,,,,,
2021-01-02 02:00:00,10.442359542933334,0.5712061247985611,30.846794813102566,274.90378,214.14253,0.006591797,0.9530544,2.69305,2.2427187,1.081494e-10,274.89777,1.5889273,275.03635,,,,,,,,
2021-01-02 03:00:00,10.439128008545454,0.7658347787425287,43.92240715027586,275.03793,209.78146,0.15625,0.9976715,2.7425847,2.3788586,1.6221e-10,275.02606,1.3652678,275.02606,,,,,,,,
2021-01-02 04:00:00,10.44196878152381,0.27047915784102566,17.58284679492857,274.81262,208.6486,0.09350586,0.9905,2.151753,1.8946638,2.162421e-10,274.9248,1.0049772,274.9733,,,,,,,,
2021-01-02 05:00:00,10.492846228818182,0.08962454250404313,8.890746263384615,275.06195,215.59398,0.19873047,0.98679227,1.471686,1.3309155,4.326547e-10,274.96875,0.6961632,275.06335,,,,,,,,
2021-01-02 06:00:00,10.51029722621212,0.22966611291282052,15.246903671941178,275.1778,235.70352,0.4116211,0.9804904,1.9922867,0.6867447,0.0,274.94955,2.1177168,275.14624,,,,,,,,
2021-01-02 07:00:00,10.439385598612903,0.13109730006451614,7.898133477465116,275.2502,299.38287,0.7885742,0.99138546,1.3527997,0.78122234,0.0,274.59525,1.1852274,274.6467,,,,,,,,
2021-01-02 08:00:00,10.490634717447369,0.004806422679558011,3.0586870191999997,274.63895,1.6719186,0.36083984,0.9897987,1.2292361,-0.30878544,10240.0,274.25452,-0.26277637,274.43594,,,,,,,,
2021-01-02 09:00:00,10.436139941250001,0.040066615962566846,6.264395742666666,274.60675,25.570482,0.74560547,0.98320705,0.10058425,-0.090826035,60032.0,274.60675,-0.043644905,274.41605,,,,,,,,
2021-01-02 10:00:00,10.49086942983871,0.0,0.0,274.8432,209.41418,0.8154297,0.9838328,0.77845365,-0.20339966,315648.0,274.60956,-0.008633614,274.81403,,,,,,,,
2021-01-02 11:00:00,10.479115486117648,0.0,14.5316937765,275.3662,182.82054,0.020019531,0.9754863,0.4161115,-0.035490036,421184.0,274.81662,-0.41470337,275.48248,,,,,,,,
2021-01-02 12:00:00,10.451684254024391,0.0,0.0,275.3819,138.83597,0.70703125,0.9455792,0.37966073,0.34318924,470208.0,275.51648,-0.43951988,275.51648,,,,,,,,
2021-01-02 13:00:00,10.411567314869565,0.002218399019390582,8.691671371555556,275.2926,89.727776,0.00024414062,0.95871687,0.11127669,-0.0004377365,223136.0,275.51614,0.030295372,275.71344,,,,,,,,
2021-01-02 14:00:00,10.427470243807694,0.07872800699734749,7.253108501521739,275.7455,66.148476,0.024902344,0.95690095,0.048110943,-0.18391514,976320.0,274.99515,-0.37115765,275.45264,,,,,,,,
2021-01-02 15:00:00,10.43440778726,0.25558644282994925,15.207795760576923,274.2197,355.07068,0.0,0.98929524,0.74432236,-0.49293995,325184.0,274.2197,0.06534672,274.3133,,,,,,,,
2021-01-02 16:00:00,10.460510783703704,0.20353522460367454,11.8861048778,274.21597,10.65628,0.0,0.98647285,0.7638779,-0.75071716,0.0,273.68933,0.046279907,273.3263,,,,,,,,
2021-01-02 17:00:00,10.465763171416667,0.11988310771313673,7.728940487032258,273.30923,355.04727,0.0,0.9791789,1.1144418,-1.1138716,325184.0,274.11676,-0.20784855,273.8466,,,,,,,,
2021-01-02 18:00:00,10.446494746225,0.08650465230684931,9.407419173903225,273.12473,24.18764,0.0,0.9750894,1.282588,-1.4824829,0.0,273.2459,-0.5331898,273.29663,,,,,,,,
2021-01-02 19:00:00,10.415440082568182,0.058173251063613235,4.260732715095238,273.94498,41.30502,0.041015625,0.9657052,0.90108955,-0.7858381,325184.0,273.248,0.0006723404,273.945,,,,,,,,
2021-01-02 20:00:00,10.508717298392856,0.05778254014209115,5.1535490895609755,274.43463,12.664383,0.053710938,0.9931253,0.618212,-0.6160345,0.0,273.95746,-0.32790852,274.29193,,,,,,,,
2021-01-02 21:00:00,10.465177841,0.006554732578082191,4.218878706166667,274.4231,54.375134,0.0,0.9803227,1.3379542,-1.0690622,0.0,274.21362,-1.2760353,274.52072,,,,,,,,
2021-01-02 22:00:00,10.509994877694446,0.0041226661888888886,10.996429019444443,274.47147,52.125603,0.12792969,0.9643618,1.5861592,-1.0933819,2.155884e-10,274.06293,-1.3671055,273.8175,,,,,,,,
2021-01-02 23:00:00,10.466378146977274,0.20600554625129536,19.16074100849091,274.05493,45.07976,0.00024414062,0.9516816,1.3074598,-1.072525,2.695068e-10,273.53595,-0.9815016,273.53278,,,,,,,,
2021-01-03 00:00:00,10.474623561125,0.6168825777701712,33.95192894705714,273.57397,48.313072,0.07421875,0.9315399,1.6800476,-1.0628309,1.6167e-10,273.96417,-1.1933002,273.57504,,,,,,,,
2021-01-03 01:00:00,10.404138966421053,0.9427903134150943,55.07933330532258,274.57208,40.789425,0.0,0.94336504,1.7710652,-1.5521622,5.38971e-11,273.58987,-1.170001,274.24994,,,,,,,,
2021-01-03 02:00:00,10.401928782250002,0.5985709515690072,31.843138924974138,274.03754,38.015797,0.0,0.9115962,2.4921606,-1.7651901,1.077942e-10,273.44537,-1.4663782,273.92224,,,,,,,,
2021-01-03 03:00:00,10.415601147444445,0.5600763599338061,36.646506906504065,273.9109,49.79689,0.0,0.94890344,2.2899492,-1.3919353,3.2334e-10,273.48682,-1.6507521,274.8178,,,,,,,,
2021-01-03 04:00:00,10.453809897000001,1.2519319470430108,72.43523951105584,274.25043,47.062515,0.0048828125,0.9310506,2.2345932,-1.9155512,5.389e-11,274.5551,-1.7591667,274.45157,,,,,,,,
2021-01-03 05:00:00,10.433458464464286,2.037507278344294,116.36129239403667,275.19617,54.64846,0.42358398,0.94163984,3.785648,-1.6021452,782720.0,274.46277,-2.7959871,275.36212,,,,,,,,
2021-01-03 06:00:00,10.448370898148148,2.7367457468579235,162.65141787839738,275.54803,52.09449,0.43481445,0.9712424,3.0939674,-2.2082472,0.0,275.24258,-3.5052729,275.1634,,,,,,,,
2021-01-03 07:00:00,10.443779521472223,4.624864654941667,261.9521328707376,275.81305,79.078575,0.40625,0.8985486,2.7104757,-0.7881422,0.0,275.16547,-4.139324,275.69675,,,,,,,,
2021-01-03 08:00:00,10.44561471172973,2.930619955231449,191.48474422452,275.32468,62.429718,0.44970703,0.85750276,4.832449,-2.1750898,5200.0,274.4629,-4.1879997,275.42633,,,,,,,,
2021-01-03 09:00:00,10.45431377875,2.0353431398684685,118.37262323844499,276.27582,85.37736,0.10888672,0.9689831,5.5203643,-1.9557457,0.0,275.55487,-3.8150415,276.13367,,,,,,,,
2021-01-03 10:00:00,10.491219711300001,2.955245556711443,170.7969904431843,276.06918,77.77378,0.18554688,0.86671835,4.7910357,-1.1550589,255248.0,276.10452,-4.4483194,276.41434,,,,,,,,
2021-01-03 11:00:00,10.452052222333334,3.550594386394198,202.037134703334,276.41022,71.461266,0.51416016,0.87482166,5.134736,-2.0364952,428352.0,276.2467,-4.7513857,276.0942,,,,,,,,
2021-01-03 12:00:00,10.462565985681819,5.052897229513688,285.82903544954115,276.8277,69.82083,0.0,0.8416332,5.810749,-2.2037153,1176704.0,276.37335,-5.1583815,276.82703,,,,,,,,
2021-01-03 13:00:00,10.440733825470588,6.030025577878289,339.8501817167806,276.8985,69.03138,0.34570312,0.8128247,6.4037633,-1.9953823,1217856.0,276.72256,-5.873741,276.6975,,,,,,,,
2021-01-03 14:00:00,10.367925528272728,7.324787615125628,417.8645657301426,276.56757,65.92972,0.34570312,0.89572525,6.4353514,-2.3804817,1631616.0,276.57147,-5.6030912,276.47833,,,,,,,,
2021-01-03 15:00:00,10.389064788655174,7.5174332143598726,422.29042442361515,276.5762,62.211056,0.004638672,0.855686,7.726685,-3.5857306,1448704.0,276.69073,-6.824318,276.69073,,,,,,,,
2021-01-03 16:00:00,10.415099530540541,7.51613050254215,421.1906649186762,276.77292,61.453735,0.19067383,0.77385366,7.51075,-3.5382748,1321472.0,276.45807,-6.5496063,276.5365,,,,,,,,
2021-01-03 17:00:00,10.419766503897959,6.970280583191803,390.57096770875387,276.43503,60.781616,0.0068359375,0.7932009,7.523298,-3.6722336,0.0,276.16046,-6.5707283,276.18652,,,,,,,,
2021-01-03 18:00:00,10.41737106425,7.9048632739982985,447.1268586390222,275.9612,60.72713,0.0,0.81517357,7.7712765,-4.074173,1320064.0,276.52582,-6.820286,276.29288,,,,,,,,
2021-01-03 19:00:00,10.434318913305555,8.216092163916809,463.27485128092127,276.3128,71.985176,0.040039062,0.9001047,7.540721,-2.53125,5.37976e-11,276.06976,-6.509964,276.3626,,,,,,,,
