ts,"HourUTC | HourUTC | 804694","mFRRDownActBal | mFRRDownActBal | 804724","PriceArea | PriceArea | 804696","mFRRUpActSpec | mFRRUpActSpec | 804713","mFRRDownActSpec | mFRRDownActSpec | 804714","ImbalanceMWh | ImbalanceMWh | 804715","ImbalancePriceDKK | ImbalancePriceDKK | 804717","BalancingPowerPriceUpDKK | BalancingPowerPriceUpDKK | 804719","BalancingPowerPriceDownDKK | BalancingPowerPriceDownDKK | 804721","mFRRUpActBal | mFRRUpActBal | 804722"
"2023-01-01 00:00:00","2023-01-01 00:00:00",0,DK2,0,0,"-25,1","10,26","10,26","10,26",0
"2023-01-01 00:00:01","2023-01-01 00:00:00",0,DK1,0,0,-10,"10,26","10,26","10,26",0
"2023-01-01 01:00:00","2023-01-01 01:00:00","22,040001",DK2,0,0,"-87,599998","-44,619999","0,6693","-44,619999",0
"2023-01-01 01:00:01","2023-01-01 01:00:00","119,959999",DK1,0,0,-358,"-44,619999","0,6693","-44,619999",0
"2023-01-01 02:00:00","2023-01-01 02:00:00",23,DK2,0,0,"-119,400002","-44,619999","0,594933","-44,619999",0
"2023-01-01 02:00:01","2023-01-01 02:00:00","90,25",DK1,0,0,-311,"-44,619999","0,594933","-44,619999",0
"2023-01-01 03:00:00","2023-01-01 03:00:00",23,DK2,0,0,"99,199997","-44,619999","0,371833","-44,619999",0
"2023-01-01 03:00:01","2023-01-01 03:00:00","105,75",DK1,0,0,-258,"-44,619999","0,371833","-44,619999",0
"2023-01-01 04:00:00","2023-01-01 04:00:00",23,DK2,0,0,"148,5",-3,"0,6",-3,0
"2023-01-01 04:00:01","2023-01-01 04:00:00","84,959999",DK1,0,0,-336,-3,0,-3,0
"2023-01-01 05:00:00","2023-01-01 05:00:00",23,DK2,0,0,"150,199997","-18,59","0,66924","-18,59",0
"2023-01-01 05:00:01","2023-01-01 05:00:00","95,419998",DK1,0,0,-219,"-18,59","-2,82568","-18,59",0
"2023-01-01 06:00:00","2023-01-01 06:00:00",23,DK2,0,0,"11,5","-37,18","3,94108","-37,18",0
"2023-01-01 06:00:01","2023-01-01 06:00:00","75,459999",DK1,0,"0,17",-208,"-37,18",0,"-37,18",0
"2023-01-01 07:00:00","2023-01-01 07:00:00",23,DK2,0,0,"-15,2","-37,18","15,09508","-37,18",0
"2023-01-01 07:00:01","2023-01-01 07:00:00","98,330002",DK1,0,"1,67",-182,"-37,18",0,"-37,18",0
"2023-01-01 08:00:00","2023-01-01 08:00:00","27,959999",DK2,0,0,"27,799999","-52,060001","23,055143","-52,060001",0
"2023-01-01 08:00:01","2023-01-01 08:00:00","127,669998",DK1,0,0,-75,"-52,060001","0,297486","-52,060001",0
"2023-01-01 09:00:00","2023-01-01 09:00:00",30,DK2,0,0,"-44,400002","-52,060001","32,946545","-52,060001",0
"2023-01-01 09:00:01","2023-01-01 09:00:00","135,539993",DK1,0,0,-354,"-52,060001","5,949714","-52,060001",0
"2023-01-01 10:00:00","2023-01-01 10:00:00","29,459999",DK2,0,0,"43,400002","-52,060001","45,069088","-52,060001",0
"2023-01-01 10:00:01","2023-01-01 10:00:00","142,75",DK1,0,0,-364,"-52,060001","0,594971","-52,060001",0
"2023-01-01 11:00:00","2023-01-01 11:00:00","16,290001",DK2,0,0,"-22,799999","-37,18","45,06216","-37,18",0
"2023-01-01 11:00:01","2023-01-01 11:00:00","94,669998",DK1,0,0,-215,"-37,18","0,29744","-37,18",0
"2023-01-01 12:00:00","2023-01-01 12:00:00","14,46",DK2,0,0,"-15,3","-37,18","42,236481","-37,18",0
"2023-01-01 12:00:01","2023-01-01 12:00:00","57,75",DK1,0,0,-213,"-37,18",0,"-37,18",0
"2023-01-01 13:00:00","2023-01-01 13:00:00","6,71",DK2,0,0,"-80,900002","3,32","130,660431","3,32",0
"2023-01-01 13:00:01","2023-01-01 13:00:00","54,330002",DK1,0,0,-215,"3,32","6,271111","3,32",0
"2023-01-01 14:00:00","2023-01-01 14:00:00",0,DK2,0,0,"4,3","70,720001","179,291199","70,720001",0
"2023-01-01 14:00:01","2023-01-01 14:00:00",0,DK1,0,0,-227,"70,720001","174,978104","70,720001",0
"2023-01-01 15:00:00","2023-01-01 15:00:00",0,DK2,0,0,"73,300003","983,109985","983,109985","271,731018","3,12"
"2023-01-01 15:00:01","2023-01-01 15:00:00",0,DK1,0,0,-145,"983,109985","983,109985","271,731018","23,92"
"2023-01-01 16:00:00","2023-01-01 16:00:00",0,DK2,0,0,"-221,300003","1115,47998","1115,47998","342,303619","23,33"
"2023-01-01 16:00:01","2023-01-01 16:00:00",0,DK1,0,0,-334,"1115,47998","1115,47998","342,303619","313,380005"
"2023-01-01 17:00:00","2023-01-01 17:00:00",0,DK2,0,0,"-332,899994","1115,47998","1115,47998","413,248138","7,5"
"2023-01-01 17:00:01","2023-01-01 17:00:00",0,DK1,0,0,-151,"1115,47998","1115,47998","413,248138","190,169998"
"2023-01-01 18:00:00","2023-01-01 18:00:00",0,DK2,0,"1,25","-426,200012","743,650024","743,650024","230,531509","1,92"
"2023-01-01 18:00:01","2023-01-01 18:00:00","0,5",DK1,0,"3,33",-199,"743,650024","743,650024","230,531509",0
"2023-01-01 19:00:00","2023-01-01 19:00:00","13,38",DK2,0,0,"-491,700012","215,660004","366,10144","215,660004",0
"2023-01-01 19:00:01","2023-01-01 19:00:00","42,880001",DK1,0,0,-163,"215,660004","366,10144","215,660004",0
"2023-01-01 20:00:00","2023-01-01 20:00:00",0,DK2,0,0,"-474,700012","334,570007","334,570007","334,570007",0
"2023-01-01 20:00:01","2023-01-01 20:00:00",0,DK1,0,0,-130,"334,570007","334,570007","334,570007",0
"2023-01-01 21:00:00","2023-01-01 21:00:00",0,DK2,0,0,"-358,299988","341,779999","341,779999","341,779999",0
"2023-01-01 21:00:01","2023-01-01 21:00:00",0,DK1,0,0,8,"341,779999","341,779999","341,779999",0
"2023-01-01 22:00:00","2023-01-01 22:00:00",0,DK2,0,0,"-146,100006","260,279999","260,279999","260,279999",0
"2023-01-01 22:00:01","2023-01-01 22:00:00",0,DK1,0,0,-186,"260,279999","260,279999","260,279999",0
"2023-01-01 23:00:00","2023-01-01 23:00:00",0,DK2,0,0,-14,"430,649994","430,649994","430,649994",0
"2023-01-01 23:00:01","2023-01-01 23:00:00",0,DK1,0,0,-208,"430,649994","430,649994","430,649994",0
"2023-01-02 00:00:00","2023-01-02 00:00:00",0,DK2,0,0,"41,299999","568,349976","568,349976","384,229248",0
"2023-01-02 00:00:01","2023-01-02 00:00:00",0,DK1,0,0,-114,"568,349976","568,349976","384,229248",0
"2023-01-02 01:00:00","2023-01-02 01:00:00",0,DK2,0,0,"60,200001","636,789978","636,789978","393,09494",0
"2023-01-02 01:00:01","2023-01-02 01:00:00",0,DK1,0,0,1,"636,789978","636,789978","393,615479",0
"2023-01-02 02:00:00","2023-01-02 02:00:00",0,DK2,0,0,79,240,"328,428894",240,0
"2023-01-02 02:00:01","2023-01-02 02:00:00","21,67",DK1,0,0,-43,240,"328,428894",240,0
"2023-01-02 03:00:00","2023-01-02 03:00:00",0,DK2,0,0,"105,300003","372,420013","372,420013","372,420013",0
"2023-01-02 03:00:01","2023-01-02 03:00:00",0,DK1,0,0,-69,"372,420013","372,420013","372,420013",0
"2023-01-02 04:00:00","2023-01-02 04:00:00",0,DK2,0,0,"196,399994","525,97998","525,97998","525,97998",0
"2023-01-02 04:00:01","2023-01-02 04:00:00",0,DK1,0,0,-52,"573,280029","573,280029","573,280029",0
"2023-01-02 05:00:00","2023-01-02 05:00:00","8,75",DK2,0,0,"-146,100006","319,769989","773,992126","319,769989",0
"2023-01-02 05:00:01","2023-01-02 05:00:00","106,709999",DK1,0,0,-198,"319,769989","781,42865","319,769989",0
"2023-01-02 06:00:00","2023-01-02 06:00:00","5,42",DK2,0,0,"-393,399994","1045,869995","1045,869995","572,61084",0
"2023-01-02 06:00:01","2023-01-02 06:00:00","22,209999",DK1,0,0,-216,"1045,869995","1045,869995","572,61084",0
"2023-01-02 07:00:00","2023-01-02 07:00:00",0,DK2,0,0,"-458,899994","1085,579956","1085,579956","1085,579956",0
"2023-01-02 07:00:01","2023-01-02 07:00:00",0,DK1,0,0,-114,"1085,579956","1085,579956","1085,579956",0
"2023-01-02 08:00:00","2023-01-02 08:00:00",4,DK2,0,0,"-337,899994","929,559998","1093,534424","929,559998",0
"2023-01-02 08:00:01","2023-01-02 08:00:00","3,25",DK1,0,0,-132,"929,559998","1093,534424","929,559998",0
"2023-01-02 09:00:00","2023-01-02 09:00:00",0,DK2,0,0,"-71,5","855,840027","1082,794922","855,840027",0
