ts,"Nordpool Elspot Prices - daily average price DK-DK2 DKK/MWh | 9F7J/00/00/Nordpool/DK2/daily_average_spot_dkk | 4821","Nordpool Elspot Prices - hourly price DK-DK2 DKK/MWh | 9F7J/00/00/Nordpool/DK2/hourly_spot_dkk | 4820"
"2023-01-02 00:00:00",,"430,65"
"2023-01-02 01:00:00",,"384,24"
"2023-01-02 02:00:00",,"393,09"
"2023-01-02 03:00:00",,"328,39"
"2023-01-02 04:00:00",,"372,42"
"2023-01-02 05:00:00",,"525,98"
"2023-01-02 06:00:00",,"773,99"
"2023-01-02 07:00:00",,"1045,86"
"2023-01-02 08:00:00",,"1085,57"
"2023-01-02 09:00:00",,"1093,53"
"2023-01-02 10:00:00",,"1082,82"
"2023-01-02 11:00:00","917,87","1066,02"
"2023-01-02 12:00:00",,"1073,68"
"2023-01-02 13:00:00",,"1069,07"
"2023-01-02 14:00:00",,"1102,08"
"2023-01-02 15:00:00",,"1155,18"
"2023-01-02 16:00:00",,"1211,32"
"2023-01-02 17:00:00",,"1264,20"
"2023-01-02 18:00:00",,"1299,45"
"2023-01-02 19:00:00",,"1223,00"
"2023-01-02 20:00:00",,"1137,78"
"2023-01-02 21:00:00",,"1053,52"
"2023-01-02 22:00:00",,"979,16"
"2023-01-02 23:00:00",,"877,95"
"2023-01-03 00:00:00",,"586,10"
"2023-01-03 01:00:00",,"549,81"
"2023-01-03 02:00:00",,"549,89"
"2023-01-03 03:00:00",,"531,29"
"2023-01-03 04:00:00",,"537,91"
"2023-01-03 05:00:00",,"573,68"
"2023-01-03 06:00:00",,"762,14"
"2023-01-03 07:00:00",,"1152,43"
"2023-01-03 08:00:00",,"1219,06"
"2023-01-03 09:00:00",,"1242,49"
"2023-01-03 10:00:00",,"1253,64"
"2023-01-03 11:00:00","987,29","1260,48"
"2023-01-03 12:00:00",,"1223,37"
"2023-01-03 13:00:00",,"1196,67"
"2023-01-03 14:00:00",,"1212,66"
"2023-01-03 15:00:00",,"1247,39"
"2023-01-03 16:00:00",,"1239,07"
"2023-01-03 17:00:00",,"1269,63"
"2023-01-03 18:00:00",,"1256,32"
"2023-01-03 19:00:00",,"1197,27"
"2023-01-03 20:00:00",,"1112,71"
"2023-01-03 21:00:00",,"974,61"
"2023-01-03 22:00:00",,"849,82"
"2023-01-03 23:00:00",,"696,54"
"2023-01-04 00:00:00",,"616,36"
"2023-01-04 01:00:00",,"586,32"
"2023-01-04 02:00:00",,"520,06"
"2023-01-04 03:00:00",,"515,07"
"2023-01-04 04:00:00",,"533,59"
"2023-01-04 05:00:00",,"607,81"
"2023-01-04 06:00:00",,"595,76"
"2023-01-04 07:00:00",,"619,71"
"2023-01-04 08:00:00",,"641,57"
"2023-01-04 09:00:00",,"634,88"
"2023-01-04 10:00:00",,"564,83"
"2023-01-04 11:00:00","545,90","607,66"
"2023-01-04 12:00:00",,"601,56"
"2023-01-04 13:00:00",,"592,86"
"2023-01-04 14:00:00",,"596,58"
"2023-01-04 15:00:00",,"593,01"
"2023-01-04 16:00:00",,"601,04"
"2023-01-04 17:00:00",,"640,76"
"2023-01-04 18:00:00",,"537,53"
"2023-01-04 19:00:00",,"495,37"
"2023-01-04 20:00:00",,"462,05"
"2023-01-04 21:00:00",,"425,83"
"2023-01-04 22:00:00",,"282,15"
"2023-01-04 23:00:00",,"229,20"
"2023-01-05 00:00:00",,"223,34"
"2023-01-05 01:00:00",,"209,36"
"2023-01-05 02:00:00",,"205,86"
"2023-01-05 03:00:00",,"206,46"
"2023-01-05 04:00:00",,"212,93"
"2023-01-05 05:00:00",,"131,86"
"2023-01-05 06:00:00",,"466,31"
"2023-01-05 07:00:00",,"636,11"
"2023-01-05 08:00:00",,"695,68"
"2023-01-05 09:00:00",,"802,62"
"2023-01-05 10:00:00",,"957,54"
"2023-01-05 11:00:00","834,50","1038,53"
"2023-01-05 12:00:00",,"1041,14"
"2023-01-05 13:00:00",,"1060,40"
"2023-01-05 14:00:00",,"1111,12"
"2023-01-05 15:00:00",,"1154,26"
"2023-01-05 16:00:00",,"1284,63"
"2023-01-05 17:00:00",,"1448,03"
"2023-01-05 18:00:00",,"1447,80"
"2023-01-05 19:00:00",,"1323,68"
"2023-01-05 20:00:00",,"1219,63"
"2023-01-05 21:00:00",,"1130,46"
"2023-01-05 22:00:00",,"1075,72"
"2023-01-05 23:00:00",,"944,53"
"2023-01-06 00:00:00",,"797,32"
"2023-01-06 01:00:00",,"751,88"
"2023-01-06 02:00:00",,"719,38"
"2023-01-06 03:00:00",,"612,36"
"2023-01-06 04:00:00",,"609,31"
"2023-01-06 05:00:00",,"624,93"
"2023-01-06 06:00:00",,"723,25"
"2023-01-06 07:00:00",,"773,08"
"2023-01-06 08:00:00",,"806,99"
"2023-01-06 09:00:00",,"817,48"
"2023-01-06 10:00:00",,"819,11"
"2023-01-06 11:00:00","795,23","822,90"
"2023-01-06 12:00:00",,"817,40"
"2023-01-06 13:00:00",,"751,81"
"2023-01-06 14:00:00",,"840,83"
"2023-01-06 15:00:00",,"913,34"
"2023-01-06 16:00:00",,"1008,61"
"2023-01-06 17:00:00",,"1120,90"
"2023-01-06 18:00:00",,"1056,87"
"2023-01-06 19:00:00",,"891,85"
"2023-01-06 20:00:00",,"797,40"
"2023-01-06 21:00:00",,"751,29"
"2023-01-06 22:00:00",,"552,20"
"2023-01-06 23:00:00",,"705,03"
"2023-01-07 00:00:00",,"533,00"
"2023-01-07 01:00:00",,"520,06"
"2023-01-07 02:00:00",,"714,32"
"2023-01-07 03:00:00",,"654,23"
"2023-01-07 04:00:00",,"617,19"
"2023-01-07 05:00:00",,"621,65"
"2023-01-07 06:00:00",,"674,97"
"2023-01-07 07:00:00",,"767,56"
"2023-01-07 08:00:00",,"831,89"
"2023-01-07 09:00:00",,"832,94"
"2023-01-07 10:00:00",,"743,69"
"2023-01-07 11:00:00","607,52","656,83"
"2023-01-07 12:00:00",,"653,71"
"2023-01-07 13:00:00",,"682,63"
"2023-01-07 14:00:00",,"598,75"
"2023-01-07 15:00:00",,"587,07"
"2023-01-07 16:00:00",,"594,43"
"2023-01-07 17:00:00",,"585,14"
"2023-01-07 18:00:00",,"582,91"
"2023-01-07 19:00:00",,"553,23"
"2023-01-07 20:00:00",,"498,12"
"2023-01-07 21:00:00",,"446,14"
"2023-01-07 22:00:00",,"362,92"
"2023-01-07 23:00:00",,"266,99"
"2023-01-08 00:00:00",,"181,76"
"2023-01-08 01:00:00",,"69,16"
"2023-01-08 02:00:00",,"67,68"
"2023-01-08 03:00:00",,"30,94"
"2023-01-08 04:00:00",,"41,50"
"2023-01-08 05:00:00",,"73,78"
"2023-01-08 06:00:00",,"67,08"
"2023-01-08 07:00:00",,"122,49"
"2023-01-08 08:00:00",,"201,40"
"2023-01-08 09:00:00",,"216,27"
"2023-01-08 10:00:00",,"261,93"
"2023-01-08 11:00:00","347,56","522,01"
"2023-01-08 12:00:00",,"365,01"
"2023-01-08 13:00:00",,"484,38"
"2023-01-08 14:00:00",,"462,51"
"2023-01-08 15:00:00",,"472,18"
"2023-01-08 16:00:00",,"641,75"
"2023-01-08 17:00:00",,"877,87"
"2023-01-08 18:00:00",,"911,86"
"2023-01-08 19:00:00",,"488,02"
"2023-01-08 20:00:00",,"453,51"
"2023-01-08 21:00:00",,"448,53"
"2023-01-08 22:00:00",,"516,13"
"2023-01-08 23:00:00",,"363,60"
"2023-01-09 00:00:00",,"558,75"
"2023-01-09 01:00:00",,"478,80"
"2023-01-09 02:00:00",,"448,31"
"2023-01-09 03:00:00",,"293,10"
"2023-01-09 04:00:00",,"352,07"
"2023-01-09 05:00:00",,"513,08"
"2023-01-09 06:00:00",,"796,73"
"2023-01-09 07:00:00",,"1189,93"
"2023-01-09 08:00:00",,"1338,67"
"2023-01-09 09:00:00",,"1317,40"
"2023-01-09 10:00:00",,"1183,02"
"2023-01-09 11:00:00","927,33","1194,17"
"2023-01-09 12:00:00",,"1045,36"
"2023-01-09 13:00:00",,"1023,86"
"2023-01-09 14:00:00",,"1067,74"
"2023-01-09 15:00:00",,"1123,15"
"2023-01-09 16:00:00",,"1204,51"
"2023-01-09 17:00:00",,"1296,58"
"2023-01-09 18:00:00",,"1354,89"
"2023-01-09 19:00:00",,"1172,83"
"2023-01-09 20:00:00",,"1078,90"
"2023-01-09 21:00:00",,"1001,18"
"2023-01-09 22:00:00",,"623,52"
"2023-01-09 23:00:00",,"599,35"
"2023-01-10 00:00:00",,"788,47"
"2023-01-10 01:00:00",,"719,23"
"2023-01-10 02:00:00",,"707,56"
"2023-01-10 03:00:00",,"672,01"
"2023-01-10 04:00:00",,"711,05"
"2023-01-10 05:00:00",,"676,91"
"2023-01-10 06:00:00",,"1002,58"
"2023-01-10 07:00:00",,"1150,73"
"2023-01-10 08:00:00",,"1229,56"
"2023-01-10 09:00:00",,"1164,41"
"2023-01-10 10:00:00",,"1123,13"
"2023-01-10 11:00:00","900,27","1063,04"
"2023-01-10 12:00:00",,"1041,70"
"2023-01-10 13:00:00",,"1040,96"
"2023-01-10 14:00:00",,"1055,46"
"2023-01-10 15:00:00",,"1059,18"
"2023-01-10 16:00:00",,"1036,05"
"2023-01-10 17:00:00",,"1088,33"
"2023-01-10 18:00:00",,"1019,46"
"2023-01-10 19:00:00",,"903,30"
"2023-01-10 20:00:00",,"785,64"
"2023-01-10 21:00:00",,"643,52"
"2023-01-10 22:00:00",,"590,13"
"2023-01-10 23:00:00",,"334,00"
"2023-01-11 00:00:00",,"312,59"
"2023-01-11 01:00:00",,"206,23"
"2023-01-11 02:00:00",,"187,19"
"2023-01-11 03:00:00",,"167,86"
"2023-01-11 04:00:00",,"189,57"
"2023-01-11 05:00:00",,"197,83"
"2023-01-11 06:00:00",,"361,00"
"2023-01-11 07:00:00",,"531,69"
"2023-01-11 08:00:00",,"540,76"
"2023-01-11 09:00:00",,"520,31"
"2023-01-11 10:00:00",,"512,35"
"2023-01-11 11:00:00","462,32","515,32"
"2023-01-11 12:00:00",,"512,13"
"2023-01-11 13:00:00",,"496,81"
"2023-01-11 14:00:00",,"517,04"
"2023-01-11 15:00:00",,"564,56"
"2023-01-11 16:00:00",,"886,52"
"2023-01-11 17:00:00",,"954,05"
"2023-01-11 18:00:00",,"791,92"
"2023-01-11 19:00:00",,"505,66"
"2023-01-11 20:00:00",,"484,61"
"2023-01-11 21:00:00",,"446,31"
"2023-01-11 22:00:00",,"371,19"
"2023-01-11 23:00:00",,"322,18"
"2023-01-12 00:00:00",,"147,85"
"2023-01-12 01:00:00",,"41,28"
"2023-01-12 02:00:00",,"34,88"
"2023-01-12 03:00:00",,"0,74"
"2023-01-12 04:00:00",,"20,30"
"2023-01-12 05:00:00",,"185,48"
"2023-01-12 06:00:00",,"267,81"
"2023-01-12 07:00:00",,"446,08"
"2023-01-12 08:00:00",,"484,75"
"2023-01-12 09:00:00",,"483,63"
"2023-01-12 10:00:00",,"493,08"
"2023-01-12 11:00:00","434,06","496,20"
"2023-01-12 12:00:00",,"495,31"
"2023-01-12 13:00:00",,"526,92"
"2023-01-12 14:00:00",,"548,56"
"2023-01-12 15:00:00",,"690,83"
"2023-01-12 16:00:00",,"719,17"
"2023-01-12 17:00:00",,"817,63"
"2023-01-12 18:00:00",,"867,31"
"2023-01-12 19:00:00",,"731,59"
"2023-01-12 20:00:00",,"550,94"
"2023-01-12 21:00:00",,"554,06"
"2023-01-12 22:00:00",,"497,10"
"2023-01-12 23:00:00",,"316,00"
"2023-01-13 00:00:00",,"242,78"
"2023-01-13 01:00:00",,"162,67"
"2023-01-13 02:00:00",,"123,03"
"2023-01-13 03:00:00",,"137,31"
"2023-01-13 04:00:00",,"184,61"
"2023-01-13 05:00:00",,"225,52"
"2023-01-13 06:00:00",,"417,20"
"2023-01-13 07:00:00",,"637,97"
"2023-01-13 08:00:00",,"711,09"
"2023-01-13 09:00:00",,"730,65"
"2023-01-13 10:00:00",,"688,62"
"2023-01-13 11:00:00","508,16","631,72"
"2023-01-13 12:00:00",,"569,24"
"2023-01-13 13:00:00",,"535,32"
"2023-01-13 14:00:00",,"560,54"
"2023-01-13 15:00:00",,"608,59"
"2023-01-13 16:00:00",,"634,55"
"2023-01-13 17:00:00",,"720,75"
"2023-01-13 18:00:00",,"715,55"
"2023-01-13 19:00:00",,"677,39"
"2023-01-13 20:00:00",,"631,79"
"2023-01-13 21:00:00",,"571,92"
"2023-01-13 22:00:00",,"569,09"
"2023-01-13 23:00:00",,"508,02"
"2023-01-14 00:00:00",,"369,77"
"2023-01-14 01:00:00",,"329,08"
"2023-01-14 02:00:00",,"337,78"
"2023-01-14 03:00:00",,"314,27"
"2023-01-14 04:00:00",,"310,18"
"2023-01-14 05:00:00",,"310,03"
"2023-01-14 06:00:00",,"335,47"
"2023-01-14 07:00:00",,"397,21"
"2023-01-14 08:00:00",,"398,92"
"2023-01-14 09:00:00",,"423,17"
"2023-01-14 10:00:00",,"496,29"
"2023-01-14 11:00:00","411,48","487,66"
"2023-01-14 12:00:00",,"486,40"
"2023-01-14 13:00:00",,"466,32"
"2023-01-14 14:00:00",,"498,08"
"2023-01-14 15:00:00",,"550,22"
"2023-01-14 16:00:00",,"564,65"
"2023-01-14 17:00:00",,"547,69"
"2023-01-14 18:00:00",,"517,05"
"2023-01-14 19:00:00",,"466,47"
"2023-01-14 20:00:00",,"383,30"
"2023-01-14 21:00:00",,"324,91"
"2023-01-14 22:00:00",,"297,91"
"2023-01-14 23:00:00",,"262,73"
"2023-01-15 00:00:00",,"203,83"
"2023-01-15 01:00:00",,"202,56"
"2023-01-15 02:00:00",,"180,62"
"2023-01-15 03:00:00",,"96,71"
"2023-01-15 04:00:00",,"59,36"
"2023-01-15 05:00:00",,"36,08"
"2023-01-15 06:00:00",,"45,01"
"2023-01-15 07:00:00",,"75,06"
"2023-01-15 08:00:00",,"104,37"
"2023-01-15 09:00:00",,"141,86"
"2023-01-15 10:00:00",,"132,64"
"2023-01-15 11:00:00","133,34","87,04"
"2023-01-15 12:00:00",,"51,55"
"2023-01-15 13:00:00",,"44,93"
"2023-01-15 14:00:00",,"45,30"
"2023-01-15 15:00:00",,"142,09"
"2023-01-15 16:00:00",,"204,05"
"2023-01-15 17:00:00",,"229,87"
"2023-01-15 18:00:00",,"205,39"
"2023-01-15 19:00:00",,"192,67"
"2023-01-15 20:00:00",,"92,76"
"2023-01-15 21:00:00",,"154,66"
"2023-01-15 22:00:00",,"230,91"
"2023-01-15 23:00:00",,"240,88"
"2023-01-16 00:00:00",,"262,97"
"2023-01-16 01:00:00",,"268,77"
"2023-01-16 02:00:00",,"268,77"
"2023-01-16 03:00:00",,"286,92"
"2023-01-16 04:00:00",,"311,03"
"2023-01-16 05:00:00",,"339,14"
"2023-01-16 06:00:00",,"497,00"
"2023-01-16 07:00:00",,"644,44"
"2023-01-16 08:00:00",,"1152,30"
"2023-01-16 09:00:00",,"1197,83"
"2023-01-16 10:00:00",,"1117,34"
"2023-01-16 11:00:00","684,54","1122,47"
"2023-01-16 12:00:00",,"1093,83"
"2023-01-16 13:00:00",,"818,59"
"2023-01-16 14:00:00",,"1025,47"
"2023-01-16 15:00:00",,"1050,17"
"2023-01-16 16:00:00",,"1087,14"
"2023-01-16 17:00:00",,"966,40"
"2023-01-16 18:00:00",,"661,40"
"2023-01-16 19:00:00",,"595,42"
"2023-01-16 20:00:00",,"490,31"
"2023-01-16 21:00:00",,"444,04"
"2023-01-16 22:00:00",,"381,18"
"2023-01-16 23:00:00",,"346,06"
"2023-01-17 00:00:00",,"350,60"
"2023-01-17 01:00:00",,"319,43"
"2023-01-17 02:00:00",,"313,55"
"2023-01-17 03:00:00",,"303,51"
"2023-01-17 04:00:00",,"309,61"
"2023-01-17 05:00:00",,"340,33"
"2023-01-17 06:00:00",,"447,60"
"2023-01-17 07:00:00",,"527,19"
"2023-01-17 08:00:00",,"545,79"
"2023-01-17 09:00:00",,"540,21"
"2023-01-17 10:00:00",,"550,11"
"2023-01-17 11:00:00","461,29","566,47"
"2023-01-17 12:00:00",,"594,81"
"2023-01-17 13:00:00",,"558,74"
"2023-01-17 14:00:00",,"537,16"
"2023-01-17 15:00:00",,"562,16"
"2023-01-17 16:00:00",,"565,58"
"2023-01-17 17:00:00",,"569,52"
"2023-01-17 18:00:00",,"546,46"
"2023-01-17 19:00:00",,"499,82"
"2023-01-17 20:00:00",,"447,38"
"2023-01-17 21:00:00",,"399,69"
"2023-01-17 22:00:00",,"352,75"
"2023-01-17 23:00:00",,"322,40"
"2023-01-18 00:00:00",,"296,40"
"2023-01-18 01:00:00",,"288,15"
"2023-01-18 02:00:00",,"287,78"
"2023-01-18 03:00:00",,"285,02"
"2023-01-18 04:00:00",,"317,60"
"2023-01-18 05:00:00",,"387,30"
"2023-01-18 06:00:00",,"969,84"
"2023-01-18 07:00:00",,"1237,68"
"2023-01-18 08:00:00",,"1350,00"
"2023-01-18 09:00:00",,"1313,26"
"2023-01-18 10:00:00",,"1041,32"
"2023-01-18 11:00:00","851,75","969,62"
"2023-01-18 12:00:00",,"914,43"
"2023-01-18 13:00:00",,"892,56"
"2023-01-18 14:00:00",,"919,78"
"2023-01-18 15:00:00",,"1041,32"
"2023-01-18 16:00:00",,"1116,52"
"2023-01-18 17:00:00",,"1195,21"
"2023-01-18 18:00:00",,"1154,01"
"2023-01-18 19:00:00",,"969,47"
"2023-01-18 20:00:00",,"899,78"
"2023-01-18 21:00:00",,"891,82"
"2023-01-18 22:00:00",,"874,04"
"2023-01-18 23:00:00",,"829,04"
"2023-01-19 00:00:00",,"621,61"
"2023-01-19 01:00:00",,"618,04"
"2023-01-19 02:00:00",,"615,21"
"2023-01-19 03:00:00",,"631,73"
"2023-01-19 04:00:00",,"690,64"
"2023-01-19 05:00:00",,"780,81"
"2023-01-19 06:00:00",,"879,45"
"2023-01-19 07:00:00",,"1113,04"
"2023-01-19 08:00:00",,"1189,73"
"2023-01-19 09:00:00",,"1159,60"
"2023-01-19 10:00:00",,"1151,64"
"2023-01-19 11:00:00","994,73","1031,28"
"2023-01-19 12:00:00",,"1089,60"
"2023-01-19 13:00:00",,"1124,49"
"2023-01-19 14:00:00",,"1155,66"
"2023-01-19 15:00:00",,"1267,10"
"2023-01-19 16:00:00",,"1341,49"
"2023-01-19 17:00:00",,"1292,54"
"2023-01-19 18:00:00",,"1165,03"
"2023-01-19 19:00:00",,"1127,39"
"2023-01-19 20:00:00",,"1083,50"
"2023-01-19 21:00:00",,"1068,70"
"2023-01-19 22:00:00",,"885,25"
"2023-01-19 23:00:00",,"790,10"
"2023-01-20 00:00:00",,"1092,80"
"2023-01-20 01:00:00",,"1075,02"
"2023-01-20 02:00:00",,"1059,70"
"2023-01-20 03:00:00",,"1062,38"
"2023-01-20 04:00:00",,"1078,59"
"2023-01-20 05:00:00",,"1119,66"
"2023-01-20 06:00:00",,"1309,45"
"2023-01-20 07:00:00",,"1547,96"
"2023-01-20 08:00:00",,"1748,75"
"2023-01-20 09:00:00",,"1649,36"
"2023-01-20 10:00:00",,"1560,61"
"2023-01-20 11:00:00","1344,04","1499,23"
"2023-01-20 12:00:00",,"1408,02"
"2023-01-20 13:00:00",,"1351,26"
"2023-01-20 14:00:00",,"1356,69"
"2023-01-20 15:00:00",,"1428,41"
"2023-01-20 16:00:00",,"1487,92"
"2023-01-20 17:00:00",,"1549,08"
"2023-01-20 18:00:00",,"1550,41"
"2023-01-20 19:00:00",,"1465,60"
"2023-01-20 20:00:00",,"1307,14"
"2023-01-20 21:00:00",,"1237,73"
"2023-01-20 22:00:00",,"1213,40"
