ts,"Observed maximum temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_max_past1h/06193 | 406592","Observed mean intensity of global radiation in the latest hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/radia_glob_past1h/06193 | 406672","Observed minimum temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_min_past1h/06193 | 406608","Observed mean wind speed the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_speed_past1h/06193 | 406640","Observed mean humidity past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/humidity_past1h/06193 | 406576","Observed mean temperature past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/temp_mean_past1h/06193 | 406560","Observed mean wind direction the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/wind_dir_past1h/06193 | 406624","Observed accumulated precipitation the past hour at Hammer Odde Fyr - DMI station 06193 | 9F7P/7Q/XC/DMI/metObs/precip_past1h/06193 | 406656"
"2023-01-01 00:00:00",9.4,0,8.1,7.1,99,8.6,221,1
"2023-01-01 01:00:00",9.9,0,,8.7,99,9.2,218,2.6
"2023-01-01 02:00:00",10.3,0,9.2,10.6,99,9.9,219,1
"2023-01-01 03:00:00",10.6,0,9.7,11.4,91,10.1,221,0
"2023-01-01 04:00:00",10,0,9.4,12.3,87,9.7,233,0
"2023-01-01 05:00:00",9.9,0,8.8,10,86,9.4,226,0
"2023-01-01 06:00:00",10.2,0,9.4,11.4,83,9.8,226,0
"2023-01-01 07:00:00",9.8,0,9.1,10.9,85,9.3,233,0
"2023-01-01 08:00:00",9.4,0,8.6,11.3,87,9,234,0
"2023-01-01 09:00:00",8.8,4,8.3,10.5,91,8.6,236,0
"2023-01-01 10:00:00",8.9,17,8,9.5,91,8.5,234,0
"2023-01-01 11:00:00",9.3,33,8.8,13.2,88,9,241,0.1
"2023-01-01 12:00:00",9.3,60,8.2,11.7,89,8.5,238,0
"2023-01-01 13:00:00",8.4,54,8,11.3,91,8.2,239,0
"2023-01-01 14:00:00",8.3,37,7.5,10.6,91,7.8,241,0
